南航大客户,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,客户单位名称,实名制/非实,大客户号,运价指令,政策返点/直减,票证类型,授权OFFICE号,名单分配,战队,备注,政策有效期和截至日期,备注,,,,,,,,,,,,,,
1,中国科学院昆明植物研究所,非实名制,1403183,PAT A#CDK1403183,91折 全国：F/J/C/W/B/M/H/U/A/L  6% 国内4%-9%，国际：3%-6%,BSP,KMG319,本单位LA1218（BSP，GP都必须带大客户号）,营销一部,25年国内50万（含）以上第三层,2024年4月10日-2028年12月31日,杨梅 13888011969,,,,,,,,,,,,,,
2,中国工商银行股份有限公司云南省分行,非实名制,1401686,PAT A#CDK1401686,,BSP,KMG319,中国工商银行股份有限公司云南省分行+工商银行云南省分行内部审计局昆明分局：都备这个号,营销一部,25年国内20万（含）以上，第二层级,2026年1月12日-2027年1月11日,李奥 13987110221,,,,,,,,,,,,,,
3,云南省北教场体育训练基地,非实名制,1402441,PAT A#CDK1402441,,BSP,KMG319,本单位,营销一部,26年国内第一层政策,2025年3月1日-2027年12月31日,何杰13888835210,,,,,,,,,,,,,,
4,中国共产党云南省委员会台湾工作办公室（云南省人民政府台湾事务办公室）,非实名制,1120186,PAT A#CDK1120186,93折,BSP,KMG319,本单位,营销一部,无政策,2025年2月1日-2027年12月31日,孙琦087163995701,,,,,,,,,,,,,,
5,中国电信股份有限公司云南分公司,实名制,1407674,PAT A#CDK1407674,90折 国内：5%-10%,BSP,KMG319,本单位L0006+,营销一部,25年国内20万（含）以上第二层,2024年7月1日-2028年12月31日,田敏0871-67127362,,,,,,,,,,,,,,
6,中国科学院昆明动物研究所,GP非实名制,1403071,RMK IC CZ/1403071,\,GP,KMG319,本单位,营销一部,GP,2024年3月20日-2028年12月31日,杨茜15025185572,,,,,,,,,,,,,,
7,云南省公路路政管理总队云南省综合交通发展中心,GP非实名制,1407435,RMK IC CZ/1407435,\,GP,KMG319,本单位,营销一部,GP,2024年10月10日-2028年12月31日,李二伟15288101022,,,,,,,,,,,,,,
8,云南师范大学,GP非实名制,1400652,RMK IC CZ/1400652,\,GP,KMG319,本单位,营销一部,GP,2024年10月18日-2028年12月31日,罗毅13700683130,,,,,,,,,,,,,,
9,云南省呈贡体育训练基地,非实名制,1407663,PAT A#CDK1407663,96折 国内：2%-4%,BSP,KMG319,本单位,营销一部,资源点不足，保留协议，政策已终止,2024年4月25日-2028年12月31日,于永才1828870019,,,,,,,,,,,,,,
10,西南林业大学,非实名制,1402134,PAT A#CDK1402134,\,GP,KMG319,剩余所有单位,营销二部,GP,2025年8月1日-2027年12月31日,邹桐礼13759452135,,,,,,,,,,,,,,
11,云南省松茂体育训练基地,非实名制,1408313,PAT A#CDK1408313,\,GP,KMG319,本单位+,营销二部,GP,2024年11月15日-2028年12月31日,朱琨13888372022,,,,,,,,,,,,,,
12,中国证券监督管理委员会云南监管局,GP实名制,1401971,RMK IC CZ/1401971,\,GP,KMG319,本单位,营销二部,GP,2022年1月1日-2026年12月31日,黄子辰0871-65150066,,,,,,,,,,,,,,
13,昆明理工大学,GP非实,1407292,RMK IC CZ/1407292,\,GP,KMG319,本单位,营销二部,GP,2023年11月1日-2027年12月31日,王奇13888396427,,,,,,,,,,,,,,
14,新华通讯社云南分社,非实名制,1408170,PAT A#CDK1408170,"F/J/C/W/B/M/H/U/A/L 6%  国内：6%,国际：2%-6%",BSP,KMG319,本单位YA0001+,营销二部,"24年国内50万（含）以上第二层（全国）,国际50万（含）以上第二层",2024年9月15日-2026年12月31日,杨静087164094521,,,,,,,,,,,,,,
15,云南省海埂运动训练中心,非实名制,1408054,PAT A#CDK1408054,4%—6%,BSP,KMG319,本单位,营销三部,25年国内50万（含）以上第三层,2024年9月1日-2028年12月31日,王敏红087164312162,,,,,,,,,,,,,,
