国航大客户,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,客户单位名称,实名制/非实,大客户号,运价指令,政策返点/直减,票证类型,授权OFFICE号,名单分配,战队或责任人,备注,政策有效期和截至日期,,,,,,,,,,,,,,,,
1,中国工商银行股份有限公司云南省分行,非实名制,9KM10FUX,PAT A#C9KM10FUX,"Y/B/M/U/H/Q:4%
V/W/S：3%",BSP,KMG319,本单位,营销一部,中型套餐,2025年8月1日-2035年7月31日,,,,,,,,,,,,,,,,
2,中国共产党昆明市委员会,非实名制,9GPA01DR,SSR CKIN CA HK1 VICO9GPA01DR,\,GP,KMG319,本单位+剩余未分配打营销一部,营销一部,手工输入SSR CKIN CA HK1 VICO9GPA01DR,2024年12月1日-2034年11月30日,,,,,,,,,,,,,,,,
3,云南省归国华侨联合会,非实名制,9GPA01QS,SSR CKIN CA HK1 VICO9GPA01QS,\,GP,KMG319,本单位,营销一部,手工输入SSR CKIN CA HK1 VICO9GPA01QS,2025年11月1日-2035年10月31日,,,,,,,,,,,,,,,,
4,中国科学院昆明动物研究所,非实名制,9GPA00J3, SSR CKIN CA HK1 VICO9GPA00J3,\,GP,KMG319,"本单位+以下单位
1.中国科学院昆明动物研究所
2.中国证劵监督管理委员会云南监管局
3.中共云南省委省直机关工委
4.财政部云南监管局
",营销一部,"国内手工输入 SSR CKIN CA HK1 VICO9GPA00J3
国际：出票输入以下指令
大客户编码输入 ： PNR 中手工输入 TC F/ X 大客户编码
如：TC F/ X9GPA00J3",2023年2月1日-2033年1月31日,,,,,,,,,,,,,,,,
5, 云南财经大学,非实名制,9GPA01II,SSR CKIN CA HK1 VICO9GPA00II,\,GP,KMG319,本单位,营销一部,"手工输入 SSR CKIN CA HK1 VICO9GPA00II
国际：出票输入以下指令
大客户编码输入：                                             
在 PNR 中手工输入 TC F/ X 大客户编码
如：TC F/ X9GPA00II",\,,,,,,,,,,,,,,,,
6,云南省市场监督管理局办公室,非实名制,9GPA00TB,SSR CKIN CA HK1 VICO9GPA00TB,\,GP,KMG319,"本单位+以下单位
1.云南省市场监督管理局办公室
2.应急管理部消防救援局昆明训练总队",营销一部,"SSR CKIN CA HK1 VICO9GPA00TB
国际：出票输入以下指令
大客户编码输入：                                             PNR 中手工输入 TC F/ X 大客户编码
如：TC F/ X9GPA00TB",2023年8月1日-2033年7月31日,,,,,,,,,,,,,,,,
7,昆明市人民政府台湾事务办公室,非实名制,9GPA01IS,SSR CKIN CA HK1 VICO9GPA01IS,\,GP,KMG319,本单位,营销一部,手工输入SSR CKIN CA HK1 VICO9GPA01IS,2025年6月1日-2035年5月31日,,,,,,,,,,,,,,,,
8,中国电信股份有限公司云南分公司,非实名制,9KM10FTW,PAT A#C9KM10FTW,Y/B/M/U/H/Q-92%；V/W-96%；S-97%,BSP,KMG319,本单位,营销一部,协议,2024年7月1日-2034年6月30日,,,,,,,,,,,,,,,,
9,昆明市人民代表大会常务委员会办公室行政处,非实名制,9GPA00V5,SSR CKIN CA HK1 VICO9GPA00V5,\,GP,KMG319,本单位,营销一部,手工输入指令 SSR CKIN CA HK1 VICO9GPA00V5,2023年9月1日-2033年8月31日,,,,,,,,,,,,,,,,
10,云南中石油昆仑燃气有限公司,非实名制,9KM10FTU,PAT A#C9KM10FTU,Y/B/M/U/H/Q-96%；V/W/S-97%,BSP,KMG319,本单位Y0088(24年6月1日新增）+营销二部,营销二部,中型套餐,\,,,,,,,,,,,,,,,,
11,云南出版印刷集团有限责任公司,非实名制,9KM10FTP,PAT A#C9KM10FTP,"Y/B/M/U/H/Q:7%
V/W:4%，S：3%",BSP,KMG319,本单位YA0026,营销二部,中型套餐,2024年3月1日-2034年2月28日,,,,,,,,,,,,,,,,
12,中国石油集团东南亚管道有限公司云南分公司,非实名制,9KM10FUA,PAT A#C9KM10FUA,"Y/B/M/U/H/Q:7%
V/W:4%，S：3%",BSP,KMG319,本单位,营销二部,国航主签,2025年1月1日-2034年12月31日,,,,,,,,,,,,,,,,
13,云南省应急管理厅,非实名制,9GPA00W6,SSR CKIN CA HK1 VICO9GPA00W6,\,GP,KMG319,本单位+营销三部剩余未分配单位,营销二部,手工输入 SSR CKIN CA HK1 VICO9GPA00W6,2023年10月1日-2033年9月30日,,,,,,,,,,,,,,,,
14,云南开放大学,非实名制,9GPA01K9,SSR CKIN CA HK1 VICO9GPA01K9,\,GP,KMG319,本单位,营销二部,手工输入 SSR CKIN CA HK1 VICO9GPA01K9,2025年6月1日-2035年5月31日,,,,,,,,,,,,,,,,
15,西南林业大学,非实名制,9GPA01GW, SSR CKIN CA HK1 VICO9GPA01GW,\,GP,KMG319,本单位+,营销二部, SSR CKIN CA HK1 VICO9GPA01GW,2025年4月1日-2035年3月31日,,,,,,,,,,,,,,,,
16,云南财经大学,非实名制,9GPA01II,SSR CKIN CA HK1 VICO9GPA01II,\,GP,KMG319,本单位,营销二部,手工输入SSR CKIN CA HK VICO9GPA01II大客户编码,2025年5月1日-2035年4月30日,,,,,,,,,,,,,,,,
17,中国人民政治协商会议昆明市委员会办公室,非实名制,9GPA00SE,SSR CKIN CA HK1 VICO9GPA00SE,\,GP,KMG319,本单位+营销二部,营销二部,手工输入 SSR CKIN CA HK1 VICO9GPA00SE,2023年8月1日-2033年7月31日,,,,,,,,,,,,,,,,
18,中国铜业有限公司,非实名制,9KM10FSW,PAT A#C9KM10FSW,Y/B/M/U/H/Q-91%；V/W/S-94%,BSP,KMG319,"本单位D0060+驰宏系+公司领导（会员号CPBX)
云南驰宏国际锗业有限公司D1510+
驰宏系+
新巴尔虎右旗荣达矿业有限责任公司D1515
云南驰宏锌锗股份有限公司会泽冶炼公司D1549
驰宏新材料厂D1511
云南驰宏国际物流D1518
云南驰宏资源综合利用D1439
青海鸿鑫矿业有限公司D1123
云南驰宏锌锗股份有限公司D1437
大兴安岭金欣矿业D1438+
阳光保险DA1245+云南生物谷物药业DB1540",营销三部,\,2023年6月1日-2032年5月31日,,,,,,,,,,,,,,,,
19,云南省戎合投资控股有限公司,非实名制,9KM10FTI,PAT A#C9KM10FTI,Y/B/M/U/H/Q-93%；V/W-96%；S-97%,BSP,KMG319,本单位DE1121+除本单位其余打营销一部,营销三部,中型套餐,2024年1月1日-2033年12月31日,,,,,,,,,,,,,,,,
20,大唐云南发电有限公司,非实名制,9KM10FTV,PAT A#C9KM10FTV,Y/B/M/U/H/Q-92%；V/W-96%；S-97%,BSP,KMG319,本单位  DE0002,营销三部,协议,2024年7月1日-2034年6月30日,,,,,,,,,,,,,,,,
21,山东高速云南发展有限公司,非实名制,9KM10FTR,PAT A#C9KM10FTR," 西南-全国(vv)  国航 F/J深航 J：4%;国航/深航Y/BMUHQ：4%；国航 V/W和深航 V/V1W： 3%；
绵阳-北京(vv)  国航 F/J深航 J：3%;国航/深航Y/BMUHQ：4%；国航 V/W和深航 V/V1W：3%
",BSP,KMG319,本单位DA1167,营销三部,中型套餐,2024年4月1日-2034年3月31日,,,,,,,,,,,,,,,,
22,云南大学,非实名制,9GPA01J2,SSR CKIN CA HK1 VICO9GPA01J2,\,GP,KMG319,本单位（包含所有分院）+中医药大学+昆明市体育学校,营销三部,手工输入 SSR CKIN CA HK1 VICO9GPA01J2,2025年6月1日-2035年5月31日,,,,,,,,,,,,,,,,
23,国家统计局云南调查总队,非实名制,9GPA01KB,PAT A#C9GPA01KB,\,GP,KMG319,本单位+,营销三部,手工输入 SSR CKIN CA HK1 VICO9GPA01KB,2025年6月1日-2035年5月31日,,,,,,,,,,,,,,,,
24,中地海外路桥建设有限公司,非实名制,9KM10FUB,PAT A#C9KM10FUB,Y/B/M/U/H/Q-96%；V/W/S-97%,BSP,KMG319,本单位+联合三组＋谭付余,联合三组,国航主签（国际国内）,2025年2月1日-2035年1月31日,,,,,,,,,,,,,,,,
25,红河学院,非实名制,9GPA01DG,SSR CKIN CA HK1 VICO9GPA01DG,\,GP,KMG319,本单位+红河分公司所有区域（联合二组）,联合二组,"国内  出票前输入以下指令：
手工输入 SSR CKIN CA HK1 VICO9GPA01DG",2024年12月1日-2034年11月30日,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
