产品名称,航线,上浮价格,政策返点,出票OFFICE,备注,产品有限期,airline,airline_name,订座舱位,产品代码,column_10,政策返点（后返+车辆后返+代理费),票证类型,column_11
MU、GP免费快速安检通道,昆明出港GP,不限,免费东01安检通道,KMG319/KMG279,发送“名字+票号+航班号 航程+日期时间+人数+服务需求”到QQ保障群704876602,有效,MU,中国东方航空,,,,,,
MU、GP高舱免费接送,昆明进出港GP+集团客户47开头,1000票面以上,免费接送机,KMG319,分号限量使用，需要完成对应指标,,MU,中国东方航空,"GP/U、F、J、C、D、Q、I、W、P、Y、B、
M、E、K舱。",,,,,
MU、GP高舱免费接送,昆明进出港GP+集团客户47开头,500票面以上,免费接送机,KMG319,接送机服务一张东航票号对应免费享受东航提供昆明长水机场与昆明市区指定区域接送机服务。所赠接、送机服务，乘机当日有效。即日起至2025年03月31日,,MU,中国东方航空,接送机适用舱位:U、F、J、C、D、Q、I、W、P、Y、B、M、E、K、L、N、R、S、V舱，GP 和集团客户均可使用，且实际出票净票价(不含税费)单程须在人民币500元(含)以上。,,,,,
MU、里程优享,所有航线(所有GP优享产品可适用于航前4小时免费改期的政策),80,GP: 40元  L5 300里程,KMG319/KMG279/CTU152/SZX146,"1.旅客类型‘’东方万里行‘’会员（限成人）

2.后返（GP都适用）
注意：销售时注意是否有会员号，只能销售有‘’会员号‘’旅客，非会员暂不能销售，如有变动已通知为准。",有效,MU,中国东方航空,C/D/Q/I/P/B/M/E/K/L/N/R/S/V,,,,,
MU、里程优享,所有航线(所有GP优享产品可适用于航前4小时免费改期的政策),150,GP:75元   L1 600里程,KMG319,,,MU,中国东方航空,C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z,,,,,
MU、里程优享,所有航线(所有GP优享产品可适用于航前4小时免费改期的政策),260,GP:130元  L2 1200里程,KMG319,,,MU,中国东方航空,C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z,,,,,
MU、里程优享,所有航线(所有GP优享产品可适用于航前4小时免费改期的政策),370,GP:185元  (L3) 1800里程,KMG319,,,MU,中国东方航空,C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z,,,,,
MU、里程优享,所有航线(所有GP优享产品可适用于航前4小时免费改期的政策),530,GP:265 (L4) 2400里程,KMG319,,,MU,中国东方航空,C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z,,,,,
MU、里程优享,所有航线(所有GP优享产品可适用于航前4小时免费改期的政策),800,GP:400元（里程1800）L6 3600里程,KMG319,,,MU,中国东方航空,C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z,,,,,
MU、里程优享,所有航线(所有GP优享产品可适用于航前4小时免费改期的政策),1000,GP:500元（里程2400）L7 4800里程,KMG319,,,MU,中国东方航空,C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z,,,,,
MU、里程优享,所有航线(所有BSP优享产品),80,BSP:30   L5 300里程,KMG319/KMG279/CTU152/SZX146,,,MU,中国东方航空,C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z,,,,,
MU、里程优享,所有航线(所有BSP优享产品),150,BSP:60   L1 600里程,KMG319,"1.旅客类型‘’东方万里行‘’会员（限成人）

2.后返（BSP都适用）
注意：销售时注意是否有会员号，只能销售有‘’会员号‘’旅客，非会员暂不能销售，如有变动已通知为准。",有效,MU,中国东方航空,C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z,,,,,
MU、里程优享,所有航线(所有BSP优享产品),260,BSP:110    L2 1200里程,KMG319,,,MU,中国东方航空,C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z,,,,,
MU、里程优享,所有航线(所有BSP优享产品),370,BSP:130 L3  1800里程,KMG319,,,MU,中国东方航空,C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z,,,,,
MU、里程优享,所有航线(所有BSP优享产品),530,BSP:200  L4 2400里程,KMG319,,,MU,中国东方航空,C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z,,,,,
