东航大客户,,,,,,,,,,,,
序号,客户单位名称,实名制/非实,大客户号,运价指令,政策返点/直减,票证类型,授权OFFICE号,名单分配,战队,备注,适用:国内/国际,政策有效期和截至日期
1,中国工商银行股份有限公司云南省分行,实名制,4701500,PAT A#C4701500,"
C3档：F/U/J：83%，C/W/Y/B：87%，D/Q/P/M/E/K/L/N/R/S/V：92%
白名单上限5000人，已添加3311人",BSP,KMG319,本单位+L1301（24年3月14日从新更新3127个）+中国银行L1167,营销一部,\,国内,\
2,中国电信股份有限公司云南分公司,实名制,4716742,PAT A#C4716742,\,BSP,KMG319,电信公司自己名单（L0006)+电信所有地州公司名单,营销一部,\,国内,\
3,云南公路联网收费管理有限公司,实名制,4703420,PAT A#c4703420,\,BSP,KMG319,本单位（LB0039）,营销一部,\,国内,\
4,云南省国有金融资本控股集团有限公司,实名制,4703491,PAT A#c4703491,\,BSP,KMG319,本单位,营销一部,\,国内,\
5,中国国民党革命委员会云南省委员会,实名制,47GP245,SSR CKIN MU HK1 VICO47GP245,\,GP,KMG319,本单位+医科大学+师范大学,营销一部,\,国内,\
6,大理学院经济与管理学院,实名制,47GP244,SSR CKIN MU HK1 VICO47GP244,\,GP,KMG319,本单位+,营销一部,\,国内,\
7,云南省呈贡体育训练基地,实名制,47GP232,SSR CKIN MU HK1 VICO47GP232,\,GP,KMG319,本单位+,营销一部,\,国内,\
8,大理大学外国语学院,实名制,47GP242,SSR CKIN MU HK1 VICO47GP242,\,GP,KMG319,本单位+,营销一部,\,国内,\
9,大理大学药学院,实名制,47GP258,SSR CKIN MU HK1 VICO47GP258,\,GP,KMG319,本单位+,营销一部,\,国内,\
10,云南省应急管理厅,实名制,47GP265,SSR CKIN MU HK1 VICO47GP265,\,GP,KMG319,本单位+除以上单位都打这个号,营销一部,\,国内,\
11,上海行动教育科技股份有限公司昆明分公司,实名制,4797125,PAT A#c4797125,\,BSP,KMG319/279,本单位+文旅,营销一部,\,国内,\
12,云南省滇商总会,实名制,4797343,PAT A#C4797343,\,BSP,KMG319/KMG279,本单位+文旅,营销一部,\,国内,\
13,国家电投集团云南国际电力投资有限公司,实名制,4715073,PAT A#C4715073,F/U/J：83%，C/W/Y/B：87%，D/Q/P/M/E/K/L/N/R/S/V：92%,BSP,KMG319,（更新2019年国电投国际国内自己单位名单D1512）+鸿立招标DA1520+行动成功D1371+昆钢领导+）+营销三部剩余未分配全部打这个号+未分配的单位往返也打这个号+(中铜+驰宏系),营销三部,\,国内,\
14,国家电投集团重庆电力有限公司云南分公司,实名制,4797681,PAT A#C4797681,"D/Q/P/M/E/K/L/N/R/S/V   93%
C/W/Y/B    90%
F/U/J    85%",BSP,KMG319,本单位+(中铜+驰宏系),营销三部,\,国内,\
