航司,产品名称,航线,订座舱位,上浮价格,前返计算方式,前返计算值,后返计算方式,后返计算值,定额代理费,运价标识,票证类型,出票OFFICE,备注,有效截止日期,创建人,创建时间
A6,1、G舱星享经济舱,所有航线,订G舱：B、H、N、T、U、A、I、R、J、K、L、Q、D、M、O 及其子舱位,150,固定值,,,50,,GGFA150,GP/BSP,KMG319/KMG279,"1、舱位：G
2、产品名称：星享经济舱
3、产品标签：“首排座位”、“优先登机”
4、产品说明：可享受经济舱第一排宽距座位、优先登机、空中
服务、机上矿泉水一瓶、毛毯一条、靠枕一个；享受免费托运行李额
20KG。非自愿签转规则：该客票如发生不正常航班，如需签转可签转
至协议航司普通经济舱。
",有效,,
A6,1、G舱星享经济舱,所有航线,订G舱：B、H、N、T、U、A、I、R、J、K、L、Q、D、M、O 及其子舱位,200,固定值,,,80,,GGFA200,GP/BSP,KMG319/KMG279,"1、舱位：G
2、产品名称：星享经济舱
3、产品标签：“首排座位”、“优先登机”
4、产品说明：可享受经济舱第一排宽距座位、优先登机、空中
服务、机上矿泉水一瓶、毛毯一条、靠枕一个；享受免费托运行李额
20KG。非自愿签转规则：该客票如发生不正常航班，如需签转可签转
至协议航司普通经济舱。
",有效,,
A6,1、G舱星享经济舱,所有航线,订G舱：B、H、N、T、U、A、I、R、J、K、L、Q、D、M、O 及其子舱位,300,固定值,,,120,,GGFA300,GP/BSP,KMG319/KMG279,"1、舱位：G
2、产品名称：星享经济舱
3、产品标签：“首排座位”、“优先登机”
4、产品说明：可享受经济舱第一排宽距座位、优先登机、空中
服务、机上矿泉水一瓶、毛毯一条、靠枕一个；享受免费托运行李额
20KG。非自愿签转规则：该客票如发生不正常航班，如需签转可签转
至协议航司普通经济舱。
",有效,,
A6,1、G舱星享经济舱,所有航线,订G舱：B、H、N、T、U、A、I、R、J、K、L、Q、D、M、O 及其子舱位,400,固定值,,,160,,GGFA400,GP/BSP,KMG319/KMG279,"1、舱位：G
2、产品名称：星享经济舱
3、产品标签：“首排座位”、“优先登机”
4、产品说明：可享受经济舱第一排宽距座位、优先登机、空中
服务、机上矿泉水一瓶、毛毯一条、靠枕一个；享受免费托运行李额
20KG。非自愿签转规则：该客票如发生不正常航班，如需签转可签转
至协议航司普通经济舱。
",有效,,
A6,1、G舱星享经济舱,所有航线,订G舱：B、H、N、T、U、A、I、R、J、K、L、Q、D、M、O 及其子舱位,500,固定值,,,200,,GGFA500,GP/BSP,KMG319/KMG279,"1、舱位：G
2、产品名称：星享经济舱
3、产品标签：“首排座位”、“优先登机”
4、产品说明：可享受经济舱第一排宽距座位、优先登机、空中
服务、机上矿泉水一瓶、毛毯一条、靠枕一个；享受免费托运行李额
20KG。非自愿签转规则：该客票如发生不正常航班，如需签转可签转
至协议航司普通经济舱。
",有效,,
A6,2、商务如意行,所有航线：除(包机航线：南京，呼和浩特，产品无运价，如有团队单独申请产品单团单议产品价格）,"固订X舱，联动：关联舱位：B、H、N、T、U、A、I、R、J、K、L、Q、D、 M、O 及其子舱位  前返                 (XRYA15S/XRYA2B),(XRYA3B/XRYA4B/XRYA6B/XRYA8B)(60%-70%)",150,固定值,,,85,,XRYA15S,GP/BSP,KMG319/KMG279,"1.提供一次航班起飞前 24 小时以外的同等舱位同等价格免费
改期权益，需通过湖南航空呼叫中心或官方小程序办理；
2.20KG 免费托运行李额。",有效,,
A6,2、商务如意行,所有航线：除(包机航线：南京，呼和浩特，产品无运价，如有团队单独申请产品单团单议产品价格）,"固订X舱，联动：关联舱位：B、H、N、T、U、A、I、R、J、K、L、Q、D、 M、O 及其子舱位  前返                 (XRYA15S/XRYA2B),(XRYA3B/XRYA4B/XRYA6B/XRYA8B)(60%-70%)",200,固定值,,,110,,XRYA2B,GP/BSP,KMG319/KMG279,"1.提供一次航班起飞前 24 小时以外的同等舱位同等价格免费
改期权益，需通过湖南航空呼叫中心或官方小程序办理；
2.20KG 免费托运行李额。",有效,,
A6,2、商务如意行,所有航线：除(包机航线：南京，呼和浩特，产品无运价，如有团队单独申请产品单团单议产品价格）,"固订X舱，联动：关联舱位：B、H、N、T、U、A、I、R、J、K、L、Q、D、 M、O 及其子舱位  前返                 (XRYA15S/XRYA2B),(XRYA3B/XRYA4B/XRYA6B/XRYA8B)(60%-70%)",300,固定值,,,165,,XRYA3B,GP/BSP,KMG319/KMG279,"1.提供一次航班起飞前 24 小时以外的同等舱位同等价格免费
改期权益，需通过湖南航空呼叫中心或官方小程序办理；
2.20KG 免费托运行李额。",有效,,
A6,2、商务如意行,所有航线：除(包机航线：南京，呼和浩特，产品无运价，如有团队单独申请产品单团单议产品价格）,"固订X舱，联动：关联舱位：B、H、N、T、U、A、I、R、J、K、L、Q、D、 M、O 及其子舱位  前返                 (XRYA15S/XRYA2B),(XRYA3B/XRYA4B/XRYA6B/XRYA8B)(60%-70%)",400,固定值,,,240,,XRYA4B,GP/BSP,KMG319/KMG279,"1.提供一次航班起飞前 24 小时以外的同等舱位同等价格免费
改期权益，需通过湖南航空呼叫中心或官方小程序办理；
2.20KG 免费托运行李额。",有效,,
A6,2、商务如意行,所有航线：除(包机航线：南京，呼和浩特，产品无运价，如有团队单独申请产品单团单议产品价格）,"固订X舱，联动：关联舱位：B、H、N、T、U、A、I、R、J、K、L、Q、D、 M、O 及其子舱位  前返                 (XRYA15S/XRYA2B),(XRYA3B/XRYA4B/XRYA6B/XRYA8B)(60%-70%)",600,固定值,,,360,,XRYA6B,GP/BSP,KMG319/KMG279,"1.提供一次航班起飞前 24 小时以外的同等舱位同等价格免费
改期权益，需通过湖南航空呼叫中心或官方小程序办理；
2.20KG 免费托运行李额。",有效,,
A6,2、商务如意行,所有航线：除(包机航线：南京，呼和浩特，产品无运价，如有团队单独申请产品单团单议产品价格）,"固订X舱，联动：关联舱位：B、H、N、T、U、A、I、R、J、K、L、Q、D、 M、O 及其子舱位  前返                 (XRYA15S/XRYA2B),(XRYA3B/XRYA4B/XRYA6B/XRYA8B)(60%-70%)",800,固定值,,,480,,XRYA8B,GP/BSP,KMG319/KMG279,"1.提供一次航班起飞前 24 小时以外的同等舱位同等价格免费
改期权益，需通过湖南航空呼叫中心或官方小程序办理；
2.20KG 免费托运行李额。",有效,,
A6,3、“优享行李”产品,所有航线,订X舱 关联舱位：A/I/R/J/K/M/L/Q/O 及其子舱位 （XYHA60和XYHA100）,60,固定值,,,0,,XRYA8B,GP/BSP,KMG319/KMG279,"1.免费行李20KG
2.订座舱位＋YHA50，订座舱位＋YHA80
3.在客票有效期内，客票退改签按照湖南航空股份有限公司国内客票使用条件（最新版）执行",有效,,
A6,3、“优享行李”产品,所有航线,订X舱 关联舱位：A/I/R/J/K/M/L/Q/O 及其子舱位 （XYHA60和XYHA100）,100,固定值,,,0,,XRYA8B,GP/BSP,KMG319/KMG279,"1.免费行李20KG
2.订座舱位＋YHA50，订座舱位＋YHA80
3.在客票有效期内，客票退改签按照湖南航空股份有限公司国内客票使用条件（最新版）执行",有效,,
A6,4、夏秋航季座位预留服务,湖南航空所有自营航班，不含包机航线。,"B、H、N、T、U、A、I、R、J、K、L、Q、D、M、O 及其子舱位
及其子舱位 (舱位+XZA50-舱位+XZA600)前返",50,固定值,,,20,,XZA5S,GP/BSP,KMG319/KMG279,"、选座券使用说明
（一）本产品需由销售渠道负责为购买产品的旅客使用选座
券在湖南航空小程序进行选座并保障权益使用，不可转赠或转售
选座券给旅客，如因旅客自行使用产生的相关问题由销售渠道负
责；
（二）选座券可用时间：航班起飞前 14 天-航班起飞前 2 小
时；
（三）每张选座券仅可为单人使用，每次选座仅可使用一张，
多人选座需分开下单选座。
（四）选座券查看：登录湖南航空小程序，点击“我的”-“红
包卡券” 查看已有选座券数量、有效期及使用说明等信息。
（五）选座流程：
Step1：进入首页-出行助手“选座服务”；
Step2：输入信息，点击“查询”；
Step3：筛选所需选座航班点击“选座”；
STEP4：选择心仪座位后仔细阅读并勾选《湖南航空会员积分
选座服务须知》等服务协议，选择“选座产品优惠券”抵扣选座
积分，点击“去支付”完成选座；                                           退票规则：参照湖南航空股份有限公司国内客票使用条件执行",有效,,
A6,4、夏秋航季座位预留服务,湖南航空所有自营航班，不含包机航线。,"B、H、N、T、U、A、I、R、J、K、L、Q、D、M、O 及其子舱位
及其子舱位 (舱位+XZA50-舱位+XZA600)前返",100,固定值,,,50,,XZA1B,GP/BSP,KMG319/KMG279,"、选座券使用说明
（一）本产品需由销售渠道负责为购买产品的旅客使用选座
券在湖南航空小程序进行选座并保障权益使用，不可转赠或转售
选座券给旅客，如因旅客自行使用产生的相关问题由销售渠道负
责；
（二）选座券可用时间：航班起飞前 14 天-航班起飞前 2 小
时；
（三）每张选座券仅可为单人使用，每次选座仅可使用一张，
多人选座需分开下单选座。
（四）选座券查看：登录湖南航空小程序，点击“我的”-“红
包卡券” 查看已有选座券数量、有效期及使用说明等信息。
（五）选座流程：
Step1：进入首页-出行助手“选座服务”；
Step2：输入信息，点击“查询”；
Step3：筛选所需选座航班点击“选座”；
STEP4：选择心仪座位后仔细阅读并勾选《湖南航空会员积分
选座服务须知》等服务协议，选择“选座产品优惠券”抵扣选座
积分，点击“去支付”完成选座；                                           退票规则：参照湖南航空股份有限公司国内客票使用条件执行",有效,,
A6,4、夏秋航季座位预留服务,湖南航空所有自营航班，不含包机航线。,"B、H、N、T、U、A、I、R、J、K、L、Q、D、M、O 及其子舱位
及其子舱位 (舱位+XZA50-舱位+XZA600)前返",200,固定值,,,100,,XZA2B,GP/BSP,KMG319/KMG279,"、选座券使用说明
（一）本产品需由销售渠道负责为购买产品的旅客使用选座
券在湖南航空小程序进行选座并保障权益使用，不可转赠或转售
选座券给旅客，如因旅客自行使用产生的相关问题由销售渠道负
责；
（二）选座券可用时间：航班起飞前 14 天-航班起飞前 2 小
时；
（三）每张选座券仅可为单人使用，每次选座仅可使用一张，
多人选座需分开下单选座。
（四）选座券查看：登录湖南航空小程序，点击“我的”-“红
包卡券” 查看已有选座券数量、有效期及使用说明等信息。
（五）选座流程：
Step1：进入首页-出行助手“选座服务”；
Step2：输入信息，点击“查询”；
Step3：筛选所需选座航班点击“选座”；
STEP4：选择心仪座位后仔细阅读并勾选《湖南航空会员积分
选座服务须知》等服务协议，选择“选座产品优惠券”抵扣选座
积分，点击“去支付”完成选座；                                           退票规则：参照湖南航空股份有限公司国内客票使用条件执行",有效,,
A6,4、夏秋航季座位预留服务,湖南航空所有自营航班，不含包机航线。,"B、H、N、T、U、A、I、R、J、K、L、Q、D、M、O 及其子舱位
及其子舱位 (舱位+XZA50-舱位+XZA600)前返",300,固定值,,,150,,XZA3B,GP/BSP,KMG319/KMG279,"、选座券使用说明
（一）本产品需由销售渠道负责为购买产品的旅客使用选座
券在湖南航空小程序进行选座并保障权益使用，不可转赠或转售
选座券给旅客，如因旅客自行使用产生的相关问题由销售渠道负
责；
（二）选座券可用时间：航班起飞前 14 天-航班起飞前 2 小
时；
（三）每张选座券仅可为单人使用，每次选座仅可使用一张，
多人选座需分开下单选座。
（四）选座券查看：登录湖南航空小程序，点击“我的”-“红
包卡券” 查看已有选座券数量、有效期及使用说明等信息。
（五）选座流程：
Step1：进入首页-出行助手“选座服务”；
Step2：输入信息，点击“查询”；
Step3：筛选所需选座航班点击“选座”；
STEP4：选择心仪座位后仔细阅读并勾选《湖南航空会员积分
选座服务须知》等服务协议，选择“选座产品优惠券”抵扣选座
积分，点击“去支付”完成选座；                                           退票规则：参照湖南航空股份有限公司国内客票使用条件执行",有效,,
A6,4、夏秋航季座位预留服务,湖南航空所有自营航班，不含包机航线。,"B、H、N、T、U、A、I、R、J、K、L、Q、D、M、O 及其子舱位
及其子舱位 (舱位+XZA50-舱位+XZA600)前返",400,固定值,,,200,,XZA4B,GP/BSP,KMG319/KMG279,"、选座券使用说明
（一）本产品需由销售渠道负责为购买产品的旅客使用选座
券在湖南航空小程序进行选座并保障权益使用，不可转赠或转售
选座券给旅客，如因旅客自行使用产生的相关问题由销售渠道负
责；
（二）选座券可用时间：航班起飞前 14 天-航班起飞前 2 小
时；
（三）每张选座券仅可为单人使用，每次选座仅可使用一张，
多人选座需分开下单选座。
（四）选座券查看：登录湖南航空小程序，点击“我的”-“红
包卡券” 查看已有选座券数量、有效期及使用说明等信息。
（五）选座流程：
Step1：进入首页-出行助手“选座服务”；
Step2：输入信息，点击“查询”；
Step3：筛选所需选座航班点击“选座”；
STEP4：选择心仪座位后仔细阅读并勾选《湖南航空会员积分
选座服务须知》等服务协议，选择“选座产品优惠券”抵扣选座
积分，点击“去支付”完成选座；                                           退票规则：参照湖南航空股份有限公司国内客票使用条件执行",有效,,
A6,4、夏秋航季座位预留服务,湖南航空所有自营航班，不含包机航线。,"B、H、N、T、U、A、I、R、J、K、L、Q、D、M、O 及其子舱位
及其子舱位 (舱位+XZA50-舱位+XZA600)前返",600,固定值,,,300,,XZA6B,GP/BSP,KMG319/KMG279,"、选座券使用说明
（一）本产品需由销售渠道负责为购买产品的旅客使用选座
券在湖南航空小程序进行选座并保障权益使用，不可转赠或转售
选座券给旅客，如因旅客自行使用产生的相关问题由销售渠道负
责；
（二）选座券可用时间：航班起飞前 14 天-航班起飞前 2 小
时；
（三）每张选座券仅可为单人使用，每次选座仅可使用一张，
多人选座需分开下单选座。
（四）选座券查看：登录湖南航空小程序，点击“我的”-“红
包卡券” 查看已有选座券数量、有效期及使用说明等信息。
（五）选座流程：
Step1：进入首页-出行助手“选座服务”；
Step2：输入信息，点击“查询”；
Step3：筛选所需选座航班点击“选座”；
STEP4：选择心仪座位后仔细阅读并勾选《湖南航空会员积分
选座服务须知》等服务协议，选择“选座产品优惠券”抵扣选座
积分，点击“去支付”完成选座；                                           退票规则：参照湖南航空股份有限公司国内客票使用条件执行",有效,,
A6,5、冬春航季优享退票产品,所有航线,"适用订座舱位：B、H、N、T、U、A、I、R、J、K、L、Q、D、M、O
及其子舱位 （舱位+TPA100，舱位+TPA200）",100,固定值,,,20,,XZA6B,GP/BSP,KMG319/KMG279,"为更好保障旅客出行权益，为旅客出行规划提供多种选择，提升服务
保障型产品收入，现推出优享退票产品，旅客购买后在当次航班起飞时间
前 24 小时（含）之前申请自愿退票，可享退票手续费按照客票票面价的
10%收取权益一次。",有效,,
