航司,产品名称,航线,订座舱位,上浮价格,前返计算方式,前返计算值,后返计算方式,后返计算值,定额代理费,运价标识,票证类型,出票OFFICE,备注,有效截止日期,创建人,创建时间
BK奥凯,1、S舱高返产品,所有航线,S舱，YGF01/*,80,固定值,,,50,,YGF01,BSP/GP,KMG319/KMG279,航班起飞 48 小时《含) 前免变更手续费一次,有效,,
BK奥凯,1、S舱高返产品,所有航线,S舱，CGF02/*,150,固定值,,,100,,CGF02,BSP/GP,KMG319/KMG279,航班起飞 24 小时(含) 前免变更手续费一次(30KG 行李额),有效,,
BK奥凯,1、S舱高返产品,所有航线,S舱，CGF03/*,280,固定值,,,180,,CGF03,BSP/GP,KMG319/KMG279,航班起飞4 小时《含) 前免变更手续费一次 (30KG 行李额),有效,,
BK奥凯,1、S舱高返产品,所有航线,S舱，CGF03/*,280,固定值,,,180,,CGF03,BSP/GP,KMG319/KMG279,航班起飞4 小时《含) 前免变更手续费一次 (30KG 行李额),有效,,
BK奥凯,1、S舱高返产品,所有航线,S舱，CGF03/*,280,固定值,,,180,,CGF03,BSP/GP,KMG319/KMG279,航班起飞4 小时《含) 前免变更手续费一次 (30KG 行李额),有效,,
BK奥凯,1、S舱高返产品,所有航线,S舱，CGF03/*,280,固定值,,,180,,CGF03,BSP/GP,KMG319/KMG279,航班起飞4 小时《含) 前免变更手续费一次 (30KG 行李额),有效,,
BK奥凯,2、S舱高返产品,所有航线,S舱，CGF03/*,280,固定值,,,180,,CGF03,BSP/GP,KMG319/KMG279,航班起飞4 小时《含) 前免变更手续费一次 (30KG 行李额),有效,,
BK奥凯,奥凯甄选,所有航线,不固定舱位，随外放开舱上浮,20,固定值,,,15,,*/G1,BSP/GP,KMG319/KMG279,运价获取指令：PAT:A,有效,,
BK奥凯,奥凯甄选,所有航线,不固定舱位，随外放开舱上浮,80,固定值,,,50,,*/G2,BSP/GP,KMG319/KMG279,,有效,,
BK奥凯,奥凯甄选,所有航线,不固定舱位，随外放开舱上浮,160,固定值,,,100,,*/G3,BSP/GP,KMG319/KMG279,,有效,,
BK奥凯,奥凯甄选,所有航线,不固定舱位，随外放开舱上浮,260,固定值,,,180,,*/G4,BSP/GP,KMG319/KMG279,,有效,,
BK奥凯,奥凯甄选,所有航线,不固定舱位，随外放开舱上浮,380,固定值,,,260,,*/G5,BSP/GP,KMG319/KMG279,,有效,,
BK奥凯,高端经济舱,所有航线,W 舱，运价获取指令：PAT:A,100,,,,,,CZ2/*,BSP/GP,KMG319/KMG279,800(含)公里以下,有效,,
BK奥凯,高端经济舱,所有航线,W 舱，运价获取指令：PAT:A,150,,,,,,CZ3/*,BSP/GP,KMG319/KMG279,801 公里至 1500 公里(含),有效,,
BK奥凯,高端经济舱,所有航线,W 舱，运价获取指令：PAT:A,200,,,,,,CZ4/*,BSP/GP,KMG319/KMG279,"1501 公里至 3000 公里
(含)",有效,,
BK奥凯,高端经济舱,所有航线,W 舱，运价获取指令：PAT:A,260,,,,,,CZ5/*,BSP/GP,KMG319/KMG279,3001 公里及以上,有效,,
BK奥凯,行李无忧,所有航线,P 舱、基础舱位：B/K/M/L/N/Q/E,150,固定值,,,15,,CX1/*,BSP/GP,KMG319/KMG279,免费行李额度30KG,有效,,
BK奥凯,行李无忧,所有航线,P 舱、基础舱位：U/T,180,固定值,,,18,,CX2/*,BSP/GP,KMG319/KMG279,,有效,,
BK奥凯,行李无忧,所有航线,D/O/Z/J/X/H,150,固定值,,,15,,YX1/*,BSP/GP,KMG319/KMG279,免费行李额度20KG,有效,,
BK奥凯,行李无忧,所有航线,D/O/Z/J/X/H,240,固定值,,,24,,CX3/*,BSP/GP,KMG319/KMG279,免费行李额度30KG,有效,,
BK奥凯,双程优享,所有航线,Y/B/K/M/L/N/Q,直减,固定值,,,20,,*/SC1,BSP/GP,KMG319/KMG279,,有效,,
BK奥凯,双程优享,所有航线,E/U/T,直减,固定值,,,20,,*/SC2,BSP/GP,KMG319/KMG279,,有效,,
BK奥凯,双程优享,所有航线,D/O/Z/J/H/X,直减,固定值,,,10,,*/SC3,BSP/GP,KMG319/KMG279,,有效,,
