航司,产品名称,航线,订座舱位,上浮价格,前返计算方式 ,前返计算值,后返计算方式,后返计算值,定额代理费,运价标识,票证类型,出票OFFICE,备注,有效及截止日期,创建人,创建时间,,,,,,,,,,,,,,
CA,CA加里惠退,所有航线,H/Q/V/W/S/L/P/K,60,固定值,30,,,,CA6Z253543,GP/BSP/B9B,KMG319/CTU152/SZX146,"赠送里程：200km,48H外退票费率按照8折收取",旅行日期4月1日至6月30日,,,,,,,,,,,,,,,,
CA,CA加里惠退,所有航线,H/Q/V/W/S/L/P/K,100,固定值,40,,,,CA6Z253551,GP/BSP/B9B,KMG319/CTU152/SZX146,"赠送里程：300km,48H外退票费率按照8折收取",旅行日期4月1日至6月30日,,,,,,,,,,,,,,,,
CA,CA加里惠退,所有航线,H/Q/V/W/S/L/P/K,150,固定值,65,,,,CA6Z253549,GP/BSP/B9B,KMG319/CTU152/SZX146,"赠送里程：500km,48H外退票费率按照8折收取",旅行日期4月1日至6月30日,,,,,,,,,,,,,,,,
CA,CA加里惠退,所有航线,H/Q/V/W/S/L/P/K,200,固定值,75,,,,CA6Z253544,GP/BSP/B9B,KMG319/CTU152/SZX146,"赠送里程：800km,48H外退票费率按照8折收取",旅行日期4月1日至6月30日,,,,,,,,,,,,,,,,
CA,CA加里惠退,所有航线,H/Q/V/W/S/L/P/K,300,固定值,80,,,,CA6Z253552,GP/BSP/B9B,KMG319/CTU152/SZX146,"赠送里程：1200km,48H外退票费率按照8折收取",旅行日期4月1日至6月30日,,,,,,,,,,,,,,,,
CA,CA加里惠退,所有航线,D/Z/R,200,固定值,90,,,,CA6A253550,GP/BSP/B9B,KMG319/CTU152/SZX146,"赠送里程：800km,48H外退票费率按照8折收取",旅行日期4月1日至6月30日,,,,,,,,,,,,,,,,
CA,CA加里惠退,所有航线,D/Z/R,300,固定值,100,,,,CA6A253540,GP/BSP/B9B,KMG319/CTU152/SZX146,"赠送里程：1200km,48H外退票费率按照8折收取",旅行日期4月1日至6月30日,,,,,,,,,,,,,,,,
CA,CA加里惠退,所有航线,D/Z/R,450,固定值,125,,,,CA6A253541,GP/BSP/B9B,KMG319/CTU152/SZX146,"赠送里程：1500km,48H外退票费率按照8折收取",旅行日期4月1日至6月30日,,,,,,,,,,,,,,,,
CA,CA大额里程,所有航线,CA6Z253542,480,固定值,120,,,,CA6Z253542,GP/BSP/B9B,KMG319/CTU152/SZX146,"赠送里程：1600km,48H外退票费率按照8折收取",旅行日期4月1日至6月30日,,,,,,,,,,,,,,,,
CA,CA大额里程,所有航线,CA6Z253548,600,固定值,160,,,,CA6Z253548,GP/BSP/B9B,KMG319/CTU152/SZX146,"赠送里程：2000km,48H外退票费率按照8折收取",旅行日期4月1日至6月31日,,,,,,,,,,,,,,,,
CA,CA大额里程,所有航线,CA6A253545,630,固定值,150,,,,CA6A253545,GP/BSP/B9B,KMG319/CTU152/SZX146,"赠送里程：1800km,48H外退票费率按照8折收取",旅行日期4月1日至6月32日,,,,,,,,,,,,,,,,
CA,CA大额里程,所有航线,CA6Z253553,880,固定值,170,,,,CA6Z253553,GP/BSP/B9B,KMG319/CTU152/SZX146,"赠送里程：2500km,48H外退票费率按照8折收取",旅行日期4月1日至6月33日,,,,,,,,,,,,,,,,
CA,CA免改惠享,所有航线,H/Q/V,150/200,固定值,50,,,,CA6Z253547,GP/BSP/B15B,KMG319/CTU152/SZX146,距航班起飞4H外，免改期费一次,旅行日期4月1日至6月33日,,,,,,,,,,,,,,,,
CA,CA免改惠享,所有航线,W/S,200/300,固定值,60,,,,CA6Z253537,GP/BSP/B15B,KMG319/CTU152/SZX146,距航班起飞4H外，免改期费一次,旅行日期4月1日至6月33日,,,,,,,,,,,,,,,,
CA,CA旅享,所有航线,H/Q/V/W/S,Y舱公布运价的15%,百分比,90,,,,CA6Z253546,GP/BSP/B16B,KMG319/CTU152/SZX146,10kg额外行李,旅行日期4月1日至6月33日,,,,,,,,,,,,,,,,
CA,CA2026年经济舱优选,所有航线,Y,,固定值,180-240,,,,CAOL253497,GP/BSP/B17B,KMG319/CTU152/SZX146,产品一   KPL,有效,,,,,,,,,,,,,,,,
CA,CA2026年经济舱优选,所有航线,B,,固定值,170-190,,,,CAOL253497,GP/BSP/B18B,KMG319/CTU152/SZX146,产品一   KPL,有效,,,,,,,,,,,,,,,,
CA,CA2026年经济舱优选,所有航线,M,,固定值,150-170,,,,CAOL253497,GP/BSP/B19B,KMG319/CTU152/SZX146,产品一   KPL,有效,,,,,,,,,,,,,,,,
CA,CA2026年经济舱优选,所有航线,U,,固定值,130-150,,,,CAOL253497,GP/BSP/B20B,KMG319/CTU152/SZX146,产品一   KPL,有效,,,,,,,,,,,,,,,,
CA,CA2026年经济舱优选,所有航线,H,,固定值,110-130,,,,CAOL253497,GP/BSP/B21B,KMG319/CTU152/SZX146,产品一   KPL,有效,,,,,,,,,,,,,,,,
CA,CA2026年经济舱优选,所有航线,Q,,固定值,90-110,,,,CAOL253497,GP/BSP/B22B,KMG319/CTU152/SZX146,产品一   KPL,有效,,,,,,,,,,,,,,,,
CA,CA2026年经济舱优选,所有航线,V,,固定值,70-90,,,,CAOL253497,GP/BSP/B23B,KMG319/CTU152/SZX146,产品一   KPL,有效,,,,,,,,,,,,,,,,
CA,CA2026年经济舱优选,所有航线,W,,固定值,50-70,,,,CAOL253497,GP/BSP/B24B,KMG319/CTU152/SZX146,产品一   KPL,有效,,,,,,,,,,,,,,,,
CA,CA2026年经济舱优选,所有航线,S,,固定值,30-50,,,,CAOL253497,GP/BSP/B25B,KMG319/CTU152/SZX146,产品一   KPL,有效,,,,,,,,,,,,,,,,
CA,CA2026年经济舱优选,所有航线,Y,,固定值,140-200,,,,CAOL253505,GP/BSP/B26B,KMG319/CTU152/SZX146,产品二  WS,有效,,,,,,,,,,,,,,,,
CA,CA2026年经济舱优选,所有航线,B,,固定值,130-150,,,,CAOL253505,GP/BSP/B27B,KMG319/CTU152/SZX146,产品二  WS,有效,,,,,,,,,,,,,,,,
CA,CA2026年经济舱优选,所有航线,M,,固定值,110-130,,,,CAOL253505,GP/BSP/B28B,KMG319/CTU152/SZX146,产品二  WS,有效,,,,,,,,,,,,,,,,
CA,CA2026年经济舱优选,所有航线,U,,固定值,90-110,,,,CAOL253505,GP/BSP/B29B,KMG319/CTU152/SZX146,产品二  WS,有效,,,,,,,,,,,,,,,,
CA,CA2026年经济舱优选,所有航线,H,,固定值,70-90,,,,CAOL253505,GP/BSP/B30B,KMG319/CTU152/SZX146,产品二  WS,有效,,,,,,,,,,,,,,,,
