航司,产品名称,航线,订座舱位,上浮价格,前返计算方式 ,前返计算值,后返计算方式,后返计算值,定额代理费,运价标识,票证类型,出票OFFICE,备注,有效及截止日期,创建人,创建时间,,,,,,,,,,,,,,
CZ,CZ优享飞,云南进出港,P/B/M/H/K/U/A/L/Q/E/V/Z/I/D/C,150,固定值,35,固定值,60,,*YXKMGJT,GP/BSP/B2B,KMG319/KMG279,"40调整为：35元PAT:A@01ZYXHAAMD,02EYXKAAMD，南航对应OFFICE号B2B2下单，发送车辆群效验",2026.01.01-2026.12.31,,,,,,,,,,,,,,,,
CZ,CZ优享飞,云南进出港,P/B/M/H/K/U/A/L/Q/E/V/Z/I/D/C,260,固定值,20,固定值,170,,*YXKMGJL,GP/BSP/B2B,KMG319/KMG279,南航对应OFFICE号B2B2下单，发送车辆群效验,2026.01.01-2026.12.31,,,,,,,,,,,,,,,,
CZ,CZ优享飞,云南进出港,P/B/M/H/K/U/A/L/Q/E/V/Z/I/D/C,420,固定值,40,固定值,275,,*YXKMGJD,GP/BSP/B2B,KMG319/KMG279,南航对应OFFICE号B2B2下单，发送车辆群效验,2026.01.01-2026.12.31,,,,,,,,,,,,,,,,
CZ,CZ优享飞,云南进出港,P/B/M/H/K/U/A/L/Q/E/V/Z/I/D/C,580,固定值,50,固定值,420,,*YXKMGDL,GP/BSP/B2B,KMG319/KMG279,南航对应OFFICE号B2B2下单，发送车辆群效验,2026.01.01-2026.12.31,,,,,,,,,,,,,,,,
CZ,CZ优享飞,云南进出港,P/B/M/H/K/U/A/L/Q/E/V/Z/I/D/C,800,固定值,55,固定值,545,,*YXKMGHP,GP/BSP/B2B,KMG319/KMG279,南航对应OFFICE号B2B2下单，发送车辆群效验,2026.01.01-2026.12.31,,,,,,,,,,,,,,,,
CZ,CZ优享飞,成都进出港,P/B/M/H/K/U/A/L/Q/E/V/Z/I/D/C,350,固定值,25,固定值,215,,*YXKMGJH,GP/BSP/B2B,KMG319,南航对应OFFICE号B2B2下单，发送车辆群效验,2026.01.01-2026.12.31,,,,,,,,,,,,,,,,
CZ,CZ优享飞,贵阳进出港（东海岸代码）,P/B/M/H/K/U/A/L/Q/E/V/Z/I/D/C,260,固定值,10,固定值,160,,*YXKMGJY,GP/BSP/B2B,KMG319/KMG279,"（备注：南航贵阳进出港东海岸后返160元,验证码发送微信东海岸产品验证码统计群）",2026.01.01-2026.12.31,,,,,,,,,,,,,,,,
CZ,CZ优享飞,全国进出港（东海岸代码）,P/B/M/H/K/U/A/L/Q/E/V/Z/I/D/C,180,固定值,17,固定值,98,,*YXKMGXA,GP/BSP/B2B,KMG319/KMG279,"（备注：全国进出港东海岸后返98元,验证码发送微信东海岸产品验证码统计群）",2026.01.01-2026.12.31,,,,,,,,,,,,,,,,
CZ,CZ优享飞,全国进出港（东海岸代码）,P/B/M/H/K/U/A/L/Q/E/V/Z/I/D/C,280,固定值,27,固定值,168,,*YXKMGXC,GP/BSP/B2B,KMG319/KMG279,"（备注：全国进出港东海岸后返168元,验证码发送微信东海岸产品验证码统计群）",2026.01.01-2026.12.31,,,,,,,,,,,,,,,,
CZ,CZ里程加享,全国航线,P/B/M/H/K/U/A/L/Q/E/V/Z/T,30,,,固定值,12,,*YXLABMD,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,100里程,2026.4.1-2026.12.31,,,,,,,,,,,,,,,,
CZ,CZ里程加享,全国航线,P/B/M/H/K/U/A/L/Q/E/V/Z/T,70,,,固定值,30,,*YXEAAMD,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,300里程,2026.4.1-2026.12.31,,,,,,,,,,,,,,,,
CZ,CZ里程加享,全国航线,P/B/M/H/K/U/A/L/Q/E/V/Z/T,100,,,固定值,40,,*YXLAAMD,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,500里程,2026.4.1-2026.12.31,,,,,,,,,,,,,,,,
CZ,CZ里程加享,全国航线,P/B/M/H/K/U/A/L/Q/E/V/Z/T,120,,,固定值,50,,*YXLACMD,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,800里程,2026.4.1-2026.12.31,,,,,,,,,,,,,,,,
CZ,CZ里程加享,全国航线,P/B/M/H/K/U/A/L/Q/E/V/Z/T,200,,,固定值,80,,*YXKAAMD,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,1000里程,2026.4.1-2026.12.31,,,,,,,,,,,,,,,,
CZ,CZ里程加享,全国航线,P/B/M/H/K/U/A/L/Q/E/V/Z/T,300,,,固定值,120,,*YXHAAMD,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,1500里程,2026.4.1-2026.12.31,,,,,,,,,,,,,,,,
CZ,CZ里程加享,全国航线,C/D/I/M/H/K/U/A/L/Q/E/V/Z/T,400,,,固定值,160,,*YXMAAMD,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,2000里程,2026.4.1-2026.12.31,,,,,,,,,,,,,,,,
CZ,CZ里程加享,全国航线,S,,,,固定值,60,,"S1??A25 S2??A25 S3??A25 S1??A20 S2??A20 S3??A20 S1??A17 S2??A17 S3??A17 S1??A15 S2??A15 S3??A15
S1??A13 S2??A13 S3??A13",GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,明珠舱800里程旅行套餐,2026.4.1-2026.12.31,,,,,,,,,,,,,,,,
CZ,CZ里程加享,全国航线,S,,,,固定值,140,,"S1??A45 S1??A40
S1??A35 S1??A30 
S1??A26 S2??A45
S2??A40 S2??A35
S2??A30 S2??A26 
S3??A45 S3??A40
S3??A35 S3??A30 
S3??A26",GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,明珠舱2000里程旅行套餐,2026.4.1-2026.12.31,,,,,,,,,,,,,,,,
CZ,CZ里程加享,全国航线,C/D/I/H/K/U/A/L/Q/E/V/Z/T,600,,,固定值,240,,*YXMACMD,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,全国航线：3000里程旅行套餐,2026.4.1-2026.12.31,,,,,,,,,,,,,,,,
CZ,CZ里程加享,全国航线,C/D/I/H/K/U/A/L/Q/E/V/Z/T,800,,,固定值,320,,*YXMADMD,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,全国航线：4000里程旅行套餐,2026.4.1-2026.12.31,,,,,,,,,,,,,,,,
CZ,CZ里程加享,全国航线,C/D/I/H/K/U/A/L/Q/E/V/Z/T,1000,,,固定值,400,,*YXMAEMD,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,全国航线：5000里程旅行套餐,2026.4.1-2026.12.31,,,,,,,,,,,,,,,,
CZ,CZ里程加享,全国航线,P/B/M/H/K/U/A/L/Q/E/V/Z/T,60,,,固定值,25,,*YXKAAOA,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,优先选择前排座位权益,2026.4.1-2026.12.31,,,,,,,,,,,,,,,,
CZ,CZ里程加享,全国航线,P/B/M/H/K/U/A/L/Q/E/V/Z/T,130,,,固定值,50,,*YXKABMS,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,300里程，额外赠前排座位权益,2026.4.1-2026.12.31,,,,,,,,,,,,,,,,
CZ,CZ里程加享,全国航线,P/B/M/H/K/U/A/L/Q/E/V/Z/T,300,,,固定值,120,,*YXKAAMS,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,1200里程，额外赠前排座位权益,2026.4.1-2026.12.31,,,,,,,,,,,,,,,,
CZ,CZ里程加享,全国航线,P/B/M/H/K/U/A/L/Q/E/V/Z/T,660,,,固定值,265,,*YXKACMS,GP/BSP/B2B,KMG319/KMG279/CTU152/SZX146,3000里程，额外赠前排座位权益,2026.4.1-2026.12.31,,,,,,,,,,,,,,,,
