航司,产品名称,航线,订座舱位,上浮价格,前返计算方式 ,前返计算值,后返计算方式,后返计算值,定额代理费,运价标识,票证类型,出票OFFICE,备注,有效及截止日期,创建人,创建时间,,,,,,,,,,,,,,
DR,DR超值经济舱,所有航线/M舱,"订M舱  B,E,H,K,N,R,S,V,T,Z（含其子舱位）",100,固定值,20,,,,CJM1,GP/BSP,KMG319/KMG279,"票面价折扣率对应多等级管
理规定及子舱位管理规定执行",有效,,,,,,,,,,,,,,,,
DR,DR超值经济舱,所有航线/M舱,"订M舱  B,E,H,K,N,R,S,V,T,Z,W,U,I,X（含其子舱位）",200,固定值,60,,,,CJM2,GP/BSP,KMG319/KMG279,"票面价折扣率对应多等级管
理规定及子舱位管理规定执行",有效,,,,,,,,,,,,,,,,
DR,DR超值经济舱,所有航线/M舱,"订M舱  B,E,H,K,N,R,S,V,T,Z,W,U,I,X（含其子舱位）",300,固定值,120,,,,CJM3,GP/BSP,KMG319/KMG279,"票面价折扣率对应多等级管
理规定及子舱位管理规定执行",有效,,,,,,,,,,,,,,,,
DR,DR超值经济舱,所有航线/M舱,"订M舱  B,E,H,K,N,R,S,V,T,Z,W,U,I,X（含其子舱位）",500,固定值,250,,,,CJM4,GP/BSP,KMG319/KMG279,票面价折扣率对应多等级管理规定及子舱位管理规定执行,有效,,,,,,,,,,,,,,,,
DR,DR渠道溢价产品---乐天行,所有航线,E/H/K/N/R/S/V/T/Z/W/U/I/X以及各舱子舱位。,50,固定值,20,,,,LTX1,GP/BSP,KMG319/KMG279,"（二）变更、退票：按订座舱位对应《苏南瑞丽航空国
内航班散客多等级舱位管理规定》、《苏南瑞丽航空固定折
扣舱位管理规定》及《苏南瑞丽航空国内特价促销产品票务
操作规定》执行，以票面价为基准计算手续费（四舍五入至个位）。",有效,,,,,,,,,,,,,,,,
DR,DR渠道溢价产品---乐天行,所有航线,E/H/K/N/R/S/V/T/Z/W/U/I/X以及各舱子舱位。,75,固定值,30,,,,LTX2,GP/BSP,KMG319/KMG279,"（二）变更、退票：按订座舱位对应《苏南瑞丽航空国
内航班散客多等级舱位管理规定》、《苏南瑞丽航空固定折
扣舱位管理规定》及《苏南瑞丽航空国内特价促销产品票务
操作规定》执行，以票面价为基准计算手续费（四舍五入至个位）。",有效,,,,,,,,,,,,,,,,
DR,DR渠道溢价产品---乐天行,所有航线,E/H/K/N/R/S/V/T/Z/W/U/I/X以及各舱子舱位。,100,固定值,40,,,,LTX3,GP/BSP,KMG319/KMG279,"（二）变更、退票：按订座舱位对应《苏南瑞丽航空国
内航班散客多等级舱位管理规定》、《苏南瑞丽航空固定折
扣舱位管理规定》及《苏南瑞丽航空国内特价促销产品票务
操作规定》执行，以票面价为基准计算手续费（四舍五入至个位）。",有效,,,,,,,,,,,,,,,,
DR,DR渠道溢价产品---乐天行,所有航线,E/H/K/N/R/S/V/T/Z/W/U/I/X以及各舱子舱位。,200,固定值,100,,,,LTX4,GP/BSP,KMG319/KMG279,"（二）变更、退票：按订座舱位对应《苏南瑞丽航空国
内航班散客多等级舱位管理规定》、《苏南瑞丽航空固定折
扣舱位管理规定》及《苏南瑞丽航空国内特价促销产品票务
操作规定》执行，以票面价为基准计算手续费（四舍五入至个位）。",有效,,,,,,,,,,,,,,,,
DR,DR渠道溢价产品---乐天行,所有航线,E/H/K/N/R/S/V/T/Z/W/U/I/X以及各舱子舱位。,300,固定值,150,,,,LTX5,GP/BSP,KMG319/KMG279,"（二）变更、退票：按订座舱位对应《苏南瑞丽航空国
内航班散客多等级舱位管理规定》、《苏南瑞丽航空固定折
扣舱位管理规定》及《苏南瑞丽航空国内特价促销产品票务
操作规定》执行，以票面价为基准计算手续费（四舍五入至个位）。",有效,,,,,,,,,,,,,,,,
DR,DR渠道溢价产品---乐天行,所有航线,E/H/K/N/R/S/V/T/Z/W/U/I/X以及各舱子舱位。,400,固定值,200,,,,LTX6,GP/BSP,KMG319/KMG279,"（二）变更、退票：按订座舱位对应《苏南瑞丽航空国
内航班散客多等级舱位管理规定》、《苏南瑞丽航空固定折
扣舱位管理规定》及《苏南瑞丽航空国内特价促销产品票务
操作规定》执行，以票面价为基准计算手续费（四舍五入至个位）。",有效,,,,,,,,,,,,,,,,
DR,DR渠道溢价产品---乐天行,所有航线,E/H/K/N/R/S/V/T/Z/W/U/I/X以及各舱子舱位。,500,固定值,300,,,,LTX7,GP/BSP,KMG319/KMG279,"（二）变更、退票：按订座舱位对应《苏南瑞丽航空国
内航班散客多等级舱位管理规定》、《苏南瑞丽航空固定折
扣舱位管理规定》及《苏南瑞丽航空国内特价促销产品票务
操作规定》执行，以票面价为基准计算手续费（四舍五入至个位）。",有效,,,,,,,,,,,,,,,,
DR,DR渠道溢价产品---乐天行,所有航线,E/H/K/N/R/S/V/T/Z/W/U/I/X以及各舱子舱位。,700,固定值,450,,,,LTX8,GP/BSP,KMG319/KMG279,"（二）变更、退票：按订座舱位对应《苏南瑞丽航空国
内航班散客多等级舱位管理规定》、《苏南瑞丽航空固定折
扣舱位管理规定》及《苏南瑞丽航空国内特价促销产品票务
操作规定》执行，以票面价为基准计算手续费（四舍五入至个位）。",有效,,,,,,,,,,,,,,,,
DR,DR渠道溢价产品---乐天行,所有航线,E/H/K/N/R/S/V/T/Z/W/U/I/X以及各舱子舱位。,900,固定值,600,,,,LTX9,GP/BSP,KMG319/KMG279,"（二）变更、退票：按订座舱位对应《苏南瑞丽航空国
内航班散客多等级舱位管理规定》、《苏南瑞丽航空固定折
扣舱位管理规定》及《苏南瑞丽航空国内特价促销产品票务
操作规定》执行，以票面价为基准计算手续费（四舍五入至个位）。",有效,,,,,,,,,,,,,,,,
DR,DR机票+接送机产品,所有航线,H/K/N/R/S/V/T/Z/W/U/I/X,250,固定值,40,,,,JSJ3,GP/BSP,KMG319/KMG279,"接送机适用城市：无锡、昆明、沈阳、济南、珠海、银川、兰州、武汉、威海、
天津、烟台、呼和浩特、长沙、哈尔滨、南昌、重庆、太原、福州、杭州、温
州、贵阳、大连、宁波、西安。
1、代理销售该产品后，将旅客信息微信
同步至辅营沟通群，辅营同步查询前天产
品销售数据；2、接送机服务方联系旅客进行接/送机服
务代预定及后续保障工作；3、购买本产品的旅客，可携带最多 2 位
同行人，最多共 2 件 24 寸行李；（如人数、行李超出规定，接送机方有权拒载）4、旅客仅可在约定服务时刻 4 小时外（不含）可联系服务方进行变更；
5、派车前司机将提前与旅客本人进行再次确认。",有效,,,,,,,,,,,,,,,,
DR,"DR 超值公务舱（A舱/C舱）
",所有航线（全享公务舱）,C,YB 运价*1.5,百分比,60,,,,QXGW,GP/BSP,KMG319/KMG279,"（三）退票
1.航班规定离站时间前 72 小时(含)之前退票,按对应票
面价收取 5%退票手续费；
2.航班规定离站时间前72小时至航班规定离站时间前4
小时(含)之前退票，按对应票面价收取 10%的退票手续费；
3.航班规定离站时间前 4 小时之后退票，按对应票面价
收取 20%的退票手续费。",有效,,,,,,,,,,,,,,,,
DR,"DR 超值公务舱（A舱/C舱）
",所有航线（全享公务舱）,C1,YB 运价*1.2,百分比,60,,,,QXGW,GP/BSP,KMG319/KMG279,"（三）退票
1.航班规定离站时间前 72 小时(含)之前退票,按对应票
面价收取 5%退票手续费；
2.航班规定离站时间前72小时至航班规定离站时间前4
小时(含)之前退票，按对应票面价收取 10%的退票手续费；
3.航班规定离站时间前 4 小时之后退票，按对应票面价
收取 20%的退票手续费。",有效,,,,,,,,,,,,,,,,
DR,"DR 超值公务舱（A舱/C舱）
",所有航线（全享公务舱）,C2,YB 运价*0.8,百分比,60,,,,QXGW,GP/BSP,KMG319/KMG279,"（三）退票
1.航班规定离站时间前 72 小时(含)之前退票,按对应票
面价收取 5%退票手续费；
2.航班规定离站时间前72小时至航班规定离站时间前4
小时(含)之前退票，按对应票面价收取 10%的退票手续费；
3.航班规定离站时间前 4 小时之后退票，按对应票面价
收取 20%的退票手续费。",有效,,,,,,,,,,,,,,,,
DR,"DR 超值公务舱（A舱/C舱）
",所有航线（超值公务舱）,A/A1/A2/A3/A4/A5,800/650/500/300,固定值,40,,,,CZGW,GP/BSP,KMG319/KMG279,"（三）退票
1.航班规定离站时间前 72 小时(含)之前退票,按对应票
面价收取 5%退票手续费；
2.航班规定离站时间前72小时至航班规定离站时间前4
小时(含)之前退票，按对应票面价收取 10%的退票手续费；
3.航班规定离站时间前 4 小时之后退票，按对应票面价
收取 20%的退票手续费。",有效,,,,,,,,,,,,,,,,
DR,"DR 超值公务舱（A舱/C舱）
",所有航线（超值公务舱）,A4,200,固定值,20,,,,CZGW,GP/BSP,KMG319/KMG279,"（三）退票
1.航班规定离站时间前 72 小时(含)之前退票,按对应票
面价收取 5%退票手续费；
2.航班规定离站时间前72小时至航班规定离站时间前4
小时(含)之前退票，按对应票面价收取 10%的退票手续费；
3.航班规定离站时间前 4 小时之后退票，按对应票面价
收取 20%的退票手续费。",有效,,,,,,,,,,,,,,,,
DR,"DR 超值公务舱（A舱/C舱）
",所有航线（超值公务舱）,A5,150,固定值,20,,,,CZGW,GP/BSP,KMG319/KMG279,"（三）退票
1.航班规定离站时间前 72 小时(含)之前退票,按对应票
面价收取 5%退票手续费；
2.航班规定离站时间前72小时至航班规定离站时间前4
小时(含)之前退票，按对应票面价收取 10%的退票手续费；
3.航班规定离站时间前 4 小时之后退票，按对应票面价
收取 20%的退票手续费。",有效,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
