航司,产品名称,航线,订座舱位,上浮价格,前返计算方式 ,前返计算值,后返计算方式,后返计算值,定额代理费,运价标识,票证类型,出票OFFICE,备注,有效及截止日期,创建人,创建时间,,,,,,,,,,,,,,
DZ,DZ商旅易行,所有航线  除包机,B-A,80,百分比,50%,,,,CSL,GP/BSP,KMG319/KMG279,"退票权益1.航班起飞前4小时（含）免费退票
2.运价基础（通过自动运价实现）：原始舱位+ CSL+直加价格80/140/280/340/420/560（例如：U舱以直加80的价格卖出，用UCSL80表示）",有效,,,,,,,,,,,,,,,,
DZ,DZ商旅易行,所有航线  除包机,B-A,140,百分比,50%,,,,CSL,GP/BSP,KMG319/KMG279,"退票权益1.航班起飞前4小时（含）免费退票
2.运价基础（通过自动运价实现）：原始舱位+ CSL+直加价格80/140/280/340/420/560（例如：U舱以直加80的价格卖出，用UCSL80表示）",有效,,,,,,,,,,,,,,,,
DZ,DZ商旅易行,所有航线  除包机,B-A,280,百分比,50%,,,,CSL,GP/BSP,KMG319/KMG279,"退票权益1.航班起飞前4小时（含）免费退票
2.运价基础（通过自动运价实现）：原始舱位+ CSL+直加价格80/140/280/340/420/560（例如：U舱以直加80的价格卖出，用UCSL80表示）",有效,,,,,,,,,,,,,,,,
DZ,DZ商旅易行,所有航线  除包机,B-A,340,百分比,50%,,,,CSL,GP/BSP,KMG319/KMG279,"退票权益1.航班起飞前4小时（含）免费退票
2.运价基础（通过自动运价实现）：原始舱位+ CSL+直加价格80/140/280/340/420/560（例如：U舱以直加80的价格卖出，用UCSL80表示）",有效,,,,,,,,,,,,,,,,
DZ,DZ商旅易行,所有航线  除包机,B-A,420,百分比,50%,,,,CSL,GP/BSP,KMG319/KMG279,"退票权益1.航班起飞前4小时（含）免费退票
2.运价基础（通过自动运价实现）：原始舱位+ CSL+直加价格80/140/280/340/420/560（例如：U舱以直加80的价格卖出，用UCSL80表示）",有效,,,,,,,,,,,,,,,,
DZ,DZ商旅易行,所有航线  除包机,C舱,560,百分比,60%,,,,CSL,GP/BSP,KMG319/KMG279,"退改权益1.航班起飞前4小时（含）免费退票                                 2.B-A舱总价原则不得超过Y舱价格，C舱直加后原则不
得超过J舱价格（因系统局限，出票时需人工辨识）",有效,,,,,,,,,,,,,,,,
DZ,DZ商旅易行,所有航线  除包机,C舱,280,百分比,60%,,,,CSL,GP/BSP,KMG319/KMG279,"退改权益1.航班起飞前4小时（含）免费退票                                 2.B-A舱总价原则不得超过Y舱价格，C舱直加后原则不
得超过J舱价格（因系统局限，出票时需人工辨识）",有效,,,,,,,,,,,,,,,,
DZ,DZ商旅易行,所有航线  除包机,C舱,340元,百分比,60%,,,,CSL,GP/BSP,KMG319/KMG279,"退改权益1.航班起飞前4小时（含）免费退票                                 2.B-A舱总价原则不得超过Y舱价格，C舱直加后原则不
得超过J舱价格（因系统局限，出票时需人工辨识）",有效,,,,,,,,,,,,,,,,
DZ,DZ商旅易行,所有航线  除包机,C舱,420,百分比,60%,,,,CSL,GP/BSP,KMG319/KMG279,"退改权益1.航班起飞前4小时（含）免费退票                                 2.B-A舱总价原则不得超过Y舱价格，C舱直加后原则不
得超过J舱价格（因系统局限，出票时需人工辨识）",有效,,,,,,,,,,,,,,,,
DZ,DZ商旅易行,所有航线  除包机,C舱,560元,百分比,60%,,,,CSL,GP/BSP,KMG319/KMG279,"退改权益1.航班起飞前4小时（含）免费退票                                 2.B-A舱总价原则不得超过Y舱价格，C舱直加后原则不
得超过J舱价格（因系统局限，出票时需人工辨识）",有效,,,,,,,,,,,,,,,,
DZ,"DZ舒享经济舱（G 舱）
商旅易",所有航线,P/K/Z/V/E/L/U/M/B,220,固定值,110,,,,*GSL220,GP/BSP,KMG319/KMG279,"1.改签：航班起飞前 4 小时（含）免费改期一次
2.退票：航班起飞前4小时（含）免费退票
3.原始舱位+G+SL+直加价格220/300/600",有效,,,,,,,,,,,,,,,,
DZ,"DZ舒享经济舱（G 舱）
商旅易",所有航线,P/K/Z/V/E/L/U/M/B,300,固定值,150,,,,*GSL300,GP/BSP,KMG319/KMG279,"1.改签：航班起飞前 4 小时（含）免费改期一次
2.退票：航班起飞前4小时（含）免费退票
3.原始舱位+G+SL+直加价格220/300/600",有效,,,,,,,,,,,,,,,,
DZ,"DZ舒享经济舱（G 舱）
商旅易",所有航线,P/K/Z/V/E/L/U/M/B,600,固定值,360,,,,*GSL600,GP/BSP,KMG319/KMG279,"1.改签：航班起飞前 4 小时（含）免费改期一次
2.退票：航班起飞前4小时（含）免费退票
3.原始舱位+G+SL+直加价格220/300/600",有效,,,,,,,,,,,,,,,,
DZ,DZ行李直加专享,所有航线,订：S   联动：T、A,90,,10,,,,,GP/BSP,KMG319/KMG279,,有效,,,,,,,,,,,,,,,,
DZ,DZ行李直加专享,所有航线,订：S   联动：T、A,190,,50,,,,,GP/BSP,KMG319/KMG279,,有效,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
