航司,产品名称,航线,订座舱位,上浮价格,前返计算方式 ,前返计算值,后返计算方式,后返计算值,定额代理费,运价标识,票证类型,出票OFFICE,备注,有效及截止日期,创建人,创建时间,,,,,,,,,,,,,,
CJ,GJ TMC,所有航线,外放舱位,180,固定值,126,,,,TMC180,GP/BSP,KMG319,"Y-Z 舱（含子舱位）优惠舱位对应公布运价的 5%,E/D/I 舱（ 含
子舱位， 不含 I1/I2/I3)优惠舱位对应公布运价的 3%。
",有效,,,,,,,,,,,,,,,,
CJ,GJ  TMC,所有航线,外放舱位,280,固定值,196,,,,TMC280,GP/BSP,KMG319,"Y-Z 舱（含子舱位）优惠舱位对应公布运价的 5%,E/D/I 舱（ 含
子舱位， 不含 I1/I2/I3)优惠舱位对应公布运价的 3%。
",有效,,,,,,,,,,,,,,,,
CJ,GJ   TMC,所有航线,外放舱位,500,固定值,350,,,,TMC500,GP/BSP,KMG319,"Y-Z 舱（含子舱位）优惠舱位对应公布运价的 5%,E/D/I 舱（ 含
子舱位， 不含 I1/I2/I3)优惠舱位对应公布运价的 3%。
",有效,,,,,,,,,,,,,,,,
CJ,GJ商务优行,所有航线,Z/U/V/G/Q/P/L/H/B,差价,百分比,0.6,,,,YYX,GP/BSP,KMG319/KMG279/CTU152,"选择任意高于外放舱位，带有YYX代码的运价，订高舱减低舱差价*60%,运价代码：运价代码：VYX10Z",有效,,,,,,,,,,,,,,,,
CJ,GJ尊享优+,所有航线,B/H/L/Q/V/U,180,固定值,110,,,,YYX110,GP/BSP,KMG319/KMG279/CTU152,"1.改签、退票按照按照票面价格*预定舱位相应退改签规则操作
2.没有单独行李，按照正常舱位
3.电话：0571-81689805
4小时以前免费改签一次，
不含EDI舱
PAT A#CZXY/CGP/CC,
PAT A#CZXY
PAT:A 或 PAT:A#CGP/CC",有效,,,,,,,,,,,,,,,,
CJ,GJ尊享优+,所有航线,Z/E/E1/D/D1/I/I1/I2/I3,180,固定值,105,,,,YYX180,GP/BSP,KMG319/KMG279/CTU152,"1.改签、退票按照按照票面价格*预定舱位相应退改签规则操作
2.没有单独行李，按照正常舱位
3.电话：0571-81689805
4小时以前免费改签一次，
不含EDI舱
PAT A#CZXY/CGP/CC,
PAT A#CZXY
PAT:A 或 PAT:A#CGP/CC",有效,,,,,,,,,,,,,,,,
CJ,GJ尊享优+,所有航线,B/H/L/Q/V/U/I,180,固定值,108,,,,YYX180,GP/BSP,KMG319/KMG279/CTU152,"1.改签、退票按照按照票面价格*预定舱位相应退改签规则操作
2.没有单独行李，按照正常舱位
3.电话：0571-81689805
4小时以前免费改签一次，
不含EDI舱
PAT A#CZXY/CGP/CC,
PAT A#CZXY
PAT:A 或 PAT:A#CGP/CC",有效,,,,,,,,,,,,,,,,
CJ,GJ尊享优+,所有航线,E/E1ID/D1/I/I1fI2/I3,180,固定值,102,,,,YYX180,GP/BSP,KMG319/KMG279/CTU152,"1.改签、退票按照按照票面价格*预定舱位相应退改签规则操作
2.没有单独行李，按照正常舱位
3.电话：0571-81689805
4小时以前免费改签一次，
不含EDI舱
PAT A#CZXY/CGP/CC,
PAT A#CZXY
PAT:A 或 PAT:A#CGP/CC",有效,,,,,,,,,,,,,,,,
CJ,GJ尊享优+,所有航线,B/H/L/Q/V/U,280,固定值,160,,,,YYX280,GP/BSP,KMG319/KMG279/CTU152,"1.改签、退票按照按照票面价格*预定舱位相应退改签规则操作
2.没有单独行李，按照正常舱位
3.电话：0571-81689805
4小时以前免费改签一次，
不含EDI舱
PAT A#CZXY/CGP/CC,
PAT A#CZXY
PAT:A 或 PAT:A#CGP/CC",有效,,,,,,,,,,,,,,,,
CJ,GJ尊享优+,所有航线,B/H/L/Q/V/U/Z,280,固定值,158,,,,YYX280,GP/BSP,KMG319/KMG279/CTU152,"1.改签、退票按照按照票面价格*预定舱位相应退改签规则操作
2.没有单独行李，按照正常舱位
3.电话：0571-81689805
4小时以前免费改签一次，
不含EDI舱
PAT A#CZXY/CGP/CC,
PAT A#CZXY
PAT:A 或 PAT:A#CGP/CC",有效,,,,,,,,,,,,,,,,
CJ,GJ尊享优+,所有航线,Z/E/E1/D/D1/I/I1/I2/I3,280,固定值,155,,,,YYX280,GP/BSP,KMG319/KMG279/CTU152,"1.改签、退票按照按照票面价格*预定舱位相应退改签规则操作
2.没有单独行李，按照正常舱位
3.电话：0571-81689805
4小时以前免费改签一次，
不含EDI舱
PAT A#CZXY/CGP/CC,
PAT A#CZXY
PAT:A 或 PAT:A#CGP/CC",有效,,,,,,,,,,,,,,,,
CJ,GJ尊享优+,所有航线,E/E1/D/D1/I/I1/I2/13,280,固定值,152,,,,YYX280,GP/BSP,KMG319/KMG279/CTU152,"1.改签、退票按照按照票面价格*预定舱位相应退改签规则操作
2.没有单独行李，按照正常舱位
3.电话：0571-81689805
4小时以前免费改签一次，
不含EDI舱
PAT A#CZXY/CGP/CC,
PAT A#CZXY
PAT:A 或 PAT:A#CGP/CC",有效,,,,,,,,,,,,,,,,
CJ,GJ尊享优+,所有航线,B/H/L/Q/V/U,380,固定值,190,,,,YYX380,GP/BSP,KMG319/KMG279/CTU152,"1.改签、退票按照按照票面价格*预定舱位相应退改签规则操作
2.没有单独行李，按照正常舱位
3.电话：0571-81689805
4小时以前免费改签一次，
不含EDI舱
PAT A#CZXY/CGP/CC,
PAT A#CZXY
PAT:A 或 PAT:A#CGP/CC",有效,,,,,,,,,,,,,,,,
