航司,产品名称,航线,订座舱位,上浮价格,前返计算方式,前返计算值,后返计算方式,后返计算值,定额代理费,运价标识,票证类型,出票OFFICE,备注,有效截止日期,创建人,创建时间
GS天津,"1、超值经济舱
（国内 W）",所有线,"订W舱  
运价代码：GPYC1 无代理费",360/400,固定值,,,80,,,BSP/GP,KMG319/KMG279/SZX146,"一、产品权益
（一）免费托运行李额20KG；超大手提行李（20×40×55）1件；
（二）精品餐食一份（70分钟（含）以下航班插放小吃、小矿泉水，71—90分钟（不含）空中提供饮品及点心盒，90分钟（含）以上航班提供饮品及早餐/正餐/点心），后期餐食变更以我处下发业务提示为准；
（三）经济舱前三排座位；
（四）地面服务权益包括：专属值机柜台、贵宾休息室、优先登机；因各机场服务差异性，地面服务权益以机场现场实际保障为准；
（五）会员积分奖励：方案下发日起，金鹏会员乘机可在基础消费积分的基础上额外赠送5积分/10元奖励，其它权益以海航统一要求为准；",有效,,
GS天津,2、惠享商旅（Q舱）,所有线,订Q舱  代码QU/GPYH1，QU/HYLX1,100,固定值,,,80,,,BSP/GP,KMG319/KMG279/SZX146,免费行李20KG,有效,,
GS天津,2、惠享商旅（Q舱）,所有线,订Q舱  代码QU/GPYH1，QU/HYLX1,160,固定值,,,80,,,BSP/GP,KMG319/KMG279/SZX146,免费行李20KG,有效,,
GS天津,3、机票Plus（机+积分）,所有线,产品代码：GOOA1 订E舱：H/K/L/M/X,220,固定值,,,35,,,BSP/GP,KMG319/KMG279/SZX146,（二）旅客乘机后，在原有金鹏积分的基础上，额外赠送1000积分（线下渠道）/1500积分（线上渠道）,有效,,
GS天津,3、机票Plus（机+积分）,所有线,产品代码：GOOA1 订E舱：V/N/A/U/T/P,300,固定值,,,35,,,BSP/GP,KMG319/KMG279/SZX146,（二）旅客乘机后，在原有金鹏积分的基础上，额外赠送1000积分（线下渠道）/1500积分（线上渠道）,有效,,
GS天津,3、机票Plus（机+积分）,所有线,产品代码：GOOB1 订E舱：H/K/L/M/X,300,固定值,,,50,,,BSP/GP,KMG319/KMG279/SZX146,（二）旅客乘机后，在原有金鹏积分的基础上，额外赠送1000积分（线下渠道）/1500积分（线上渠道）,有效,,
GS天津,3、机票Plus（机+积分）,所有线,产品代码：GOOB1 订E舱：V/N/A/U/T/P,380,固定值,,,50,,,BSP/GP,KMG319/KMG279/SZX146,（二）旅客乘机后，在原有金鹏积分的基础上，额外赠送1000积分（线下渠道）/1500积分（线上渠道）,有效,,
GS天津,4、商旅经济E舱,所有线," 代码 GPYN1 净结 20 元；
GPYM1 无代理费                                        外放最低舱位为 X（含）以上
时，上浮 130 元；X 舱（不
含）以下时，上浮 170 元，
且 E 舱价格不得大于经济舱
公布普通票价",130,固定值,,,30,,,BSP/GP,KMG319/KMG279/SZX146,"（一）经济舱餐食一份（70分钟（含）以下航班插放小吃、小矿泉水，71—90分钟（不含）空中提供饮品及点心盒，90分钟（含）以上航班提供饮品及早餐/正餐/点心）；
（二）经济舱前三排座位；
（三）方案下发日起，金鹏会员乘机可在基础消费积分的基础上额外享受2积分/10元奖励，定级权益以海航统一要求为准；
（四）免费托运行李额20KG；超大手提行李（20×40×55）1件； ",有效,,
GS天津,5、天津航空会员乐享,"代码 GPYH1 净结 10 元；
代码 GPYJ1 后返 10 元；
GPYG1 无代理费",1.Q舱价格以该航班各渠道经济舱对外开放最低散客舱位（H/K/L/M/X/V/N/A/A1/U/U1/T/T1/P/P1）价格上浮                                             产品代码：HYLX1（线下渠道）,80,固定值,,,20,,,BSP/GP,KMG319/KMG279/SZX146,"（一）金鹏会员积分：方案执行之日起，金鹏会员乘机可享受基础积分累积；
（二）额外积分奖励：可额外奖励500点金鹏会员积分；；",有效,,
GS天津,6、免改添翼,"MGTA1 上浮 300 ，
MGTB1 上浮 500 ，
MGTC1 上浮 700",K/L/M/X/V/N/A/U/T/P/A1/U1/T1/P1,300,固定值,,,100,,,BSP/GP,KMG319/KMG279/SZX146,"（一）旅客购买该产品后，在原舱位权益基础上，可额外享有在航班起飞 4 小时前（含）申请改期，可免收变更
费一次，差价正常收取。
（二）代理人销售此高于外放舱位的客票，即可获得额外跨舱代理费奖励，并鼓励代理人给旅客配属其他额外权
益。",有效,,
GS天津,6、免改添翼,"MGTA1 上浮 300 ，
MGTB1 上浮 500 ，
MGTC1 上浮 700",K/L/M/X/V/N/A/U/T/P/A1/U1/T1/P1,500,固定值,,,200,,,BSP/GP,KMG319/KMG279/SZX146,"（一）旅客购买该产品后，在原舱位权益基础上，可额外享有在航班起飞 4 小时前（含）申请改期，可免收变更
费一次，差价正常收取。
（二）代理人销售此高于外放舱位的客票，即可获得额外跨舱代理费奖励，并鼓励代理人给旅客配属其他额外权
益。",有效,,
GS天津,6、免改添翼,"MGTA1 上浮 300 ，
MGTB1 上浮 500 ，
MGTC1 上浮 700",K/L/M/X/V/N/A/U/T/P/A1/U1/T1/P1,700,固定值,,,350,,,BSP/GP,KMG319/KMG279/SZX146,"（一）旅客购买该产品后，在原舱位权益基础上，可额外享有在航班起飞 4 小时前（含）申请改期，可免收变更
费一次，差价正常收取。
（二）代理人销售此高于外放舱位的客票，即可获得额外跨舱代理费奖励，并鼓励代理人给旅客配属其他额外权
益。",有效,,
GS天津,7、海天无限,所有航线：产品代码：GHLC,Y 舱：0%； B/H/K 舱:7%； L/M/X 舱：10%; V/N/特价舱：12%,下浮,固定值,,,0,,,BSP/GP,KMG319/KMG279/SZX146,行李额20kg，航变无忧退改等权益，天津航空所有授权签约代理人,有效,,
GS天津,8、优享商旅,所有航线,订舱E  联动H/K/L/M/X 产品代码：THEA1,330,固定值,,,150,,,BSP/GP,KMG319/KMG279/SZX146,"自愿退票手续费：航班计划出港时间前 4 小时（不含）至
航班起飞后每次收取对应票价 70%；航班计划出港时间前 48 小
时（不含）至航班计划出港时间前 4 小时（含）每次收取对应票
价 60%；航班计划出港时间前 72 小时（不含）至航班计划出港
时间前 48 小时(含）每次收取对应票价 45%；航班计划出港时间
前 336 小时（不含）至航班计划出港时间前 72 小时（含）每次
收取对应票价 30%；航班计划出港时间前 336 小时（含）之前
每次收取对应票价 15%。 ",有效,,
GS天津,8、优享商旅,所有航线,订舱E  联动V/N/A/U/T/P 产品代码：THEA1,410,固定值,,,150,,,BSP/GP,KMG319/KMG279/SZX146,"自愿退票手续费：航班计划出港时间前 4 小时（不含）至
航班起飞后每次收取对应票价 70%；航班计划出港时间前 48 小
时（不含）至航班计划出港时间前 4 小时（含）每次收取对应票
价 60%；航班计划出港时间前 72 小时（不含）至航班计划出港
时间前 48 小时(含）每次收取对应票价 45%；航班计划出港时间
前 336 小时（不含）至航班计划出港时间前 72 小时（含）每次
收取对应票价 30%；航班计划出港时间前 336 小时（含）之前
每次收取对应票价 15%。 ",有效,,
