航司,产品名称,航线,订座舱位,上浮价格,前返计算方式,前返计算值,后返计算方式,后返计算值,定额代理费,运价标识,票证类型,出票OFFICE,备注,有效截止日期,创建人,创建时间
HU,智选经济舱,所有航线,Q舱 上浮390元现返120元,390,固定值,,固定值,120,,,GP/BSP,KMG319/KMG279/CTU152/SZX146,,有效,,
HU,优选经济舱,所有航线,E舱 E舱上浮220元现返70元，上浮250元现返80元,220/250,固定值,,固定值,70/80,,,GP/BSP,KMG319/KMG279/CTU152/SZX146,,有效,,
HU,优享贵宾室,适用于HU/CN国内自营航班,H/K/L/M/X/V/N/A/U/T，CVG1(北京）,220元,固定值,,固定值,40元,,CVG1,GP/BSP,KMG319/KMG279/CTU152/SZX146,,2026/9/15,,
HU,优享贵宾室,适用于HU/CN国内自营航班,H/K/L/M/X/V/N/A/U/T，COF1（海口）,220元,固定值,,固定值,40元,,COF1,GP/BSP,KMG319/KMG279/CTU152/SZX146,,2026/9/15,,
HU,优享贵宾室,适用于HU/CN国内自营航班,H/K/L/M/X/V/N/A/U/T，CNS1（杭州）,168元,固定值,,固定值,30元,,CNS1,GP/BSP,KMG319/KMG279/CTU152/SZX146,,2026/9/15,,
HU,优享贵宾室,适用于HU/CN国内自营航班,H/K/L/M/X/V/N/A/U/T，CUF1（太原）,128元,固定值,,固定值,20元,,CUF1,GP/BSP,KMG319/KMG279/CTU152/SZX146,,2026/9/15,,
HU,优享贵宾室,适用于HU/CN国内自营航班,H/K/L/M/X/V/N/A/U/T，CMV1（乌鲁木齐）,158元,固定值,,固定值,30元,,CMV1,GP/BSP,KMG319/KMG279/CTU152/SZX146,,2026/9/15,,
HU,优享贵宾室,适用于HU/CN国内自营航班,H/K/L/M/X/V/N/A/U/T，CZC1（上海浦东）,220元,固定值,,固定值,40元,,CZC1,GP/BSP,KMG319/KMG279/CTU152/SZX146,,2026/9/15,,
HU,优享变更,适用于HU/CN国内自营航班,H/K/L/M/X/V/N/A/U/T            产品代码：CSU1,150,固定值,,固定值,40元,,CSU1,GP/BSP,KMG319/KMG279/CTU152/SZX146,,2026/12/31,,
HU,蓉易行接送机,成都进出港,D/Z/I/R/H/K/L/M/X/V/N/A/U/T,220,固定值,,固定值,140,,DSLY1,GP/BSP,CTU152,2026年3月29日（含）起不适用I舱。1.D/Z/R/H/K/L/M/X/V/N/A/U/T舱适用日期,2026/1/23,,
HU,蓉易行接送机,成都进出港,D/Z/I/R/H/K/L/M/X/V/N/A/U/T,340,固定值,,固定值,220,,DSLZ1,GP/BSP,CTU152,2026年3月29日（含）起不适用I舱。1.D/Z/R/H/K/L/M/X/V/N/A/U/T舱适用日期,2026/1/23,,
HU,蓉易行接送机,成都进出港,D/Z/I/R/H/K/L/M/X/V/N/A/U/T,420,固定值,,固定值,275,,DSMA1,GP/BSP,CTU152,2026年3月29日（含）起不适用I舱。1.D/Z/R/H/K/L/M/X/V/N/A/U/T舱适用日期,2026/1/23,,
HU,蓉易行接送机,成都进出港,D/Z/I/R/H/K/L/M/X/V/N/A/U/T,660,固定值,,固定值,430,,DSMB1,GP/BSP,CTU152,2026年3月29日（含）起不适用I舱。1.D/Z/R/H/K/L/M/X/V/N/A/U/T舱适用日期,2026/1/23,,
HU,优享专车”产品,所有航线,H/K/L/M/X/V/N/A/U/U1/U2/T/T1/T2          产品代码：CTL1,100元,固定值,,固定值,30元,,CTL1,GP/BSP,KMG319/KMG279/CTU152/SZX146,2026年3月29日（含）起不适用I舱。1.D/Z/R/H/K/L/M/X/V/N/A/U/T舱适用日期,2026/12/31,,
HU,优享专车”产品,所有航线,H/K/L/M/X/V/N/A/U/T                      产品代码：DCQE1,200元,固定值,,固定值,60元,,DCQE1,GP/BSP,KMG319/KMG279/CTU152/SZX146,,2026/12/31,,
HU,优享代泊,所有航线,H/K/L/M/X/V/N/A/U/T               产品代码：CPF1,180元,固定值,,固定值,30元,,CPF1,GP/BSP,KMG319/KMG279/CTU152/SZX146,,2026/12/31,,
HU,”优享积分”产品,所有航线,H/K/L/M/X/V/N/A/U/T，CYE1,120元,固定值,,固定值,30元,,CYE1,GP/BSP,KMG319/KMG279/CTU152/SZX146,,2026/12/31,,
HU,”优享积分”产品,所有航线,H/K/L/M/X/V/N/A/U/T，CLE1,240元,固定值,,固定值,50元,,CLE1,GP/BSP,KMG319/KMG279/CTU152/SZX146,,2026/12/31,,
HU,”优享积分”产品,所有航线,H/K/L/M/X/V/N/A/U/T，CLG1,360元,固定值,,固定值,70元,,CLG1,GP/BSP,KMG319/KMG279/CTU152/SZX146,,2026/12/31,,
HU,公务舱（尊享专车）产品,所有航线,D/Z/I/R舱  CQC1,370,固定值,,固定值,100,,CGJ,GP/BSP,KMG319/KMG279/CTU152/SZX146,,2026/12/31,,
HU,公务舱（尊享积分）产品,所有航线,D/Z/I/R舱  CVW,430,固定值,,固定值,80,,DCJ,GP/BSP,KMG319/KMG279/CTU152/SZX146,,2026/12/31,,
HU,公务舱（尊享积分）产品,所有航线,D/Z/I/R舱  CNZ1,860,固定值,,固定值,200,,HFJ,GP/BSP,KMG319/KMG279/CTU152/SZX146,,2026/12/31,,
