航司,产品名称,航线,订座舱位,上浮价格,前返计算方式 ,前返计算值,后返计算方式,后返计算值,定额代理费,运价标识,票证类型,出票OFFICE,,有效及截止日期,创建人,创建时间,,,,,,,,,,,,,,
KY,KY一路护航,"1.特殊航线：
KMG-XIY、XYI-KMG、KMG-XMN、XMN-KMG、KMG-PVG、PVG-KMG、KMG-PEK、PEK-KMG、KMG-CAN、CAN-KMG、KMG-SZX、SZX-KMG、KMG-HGH、HGH-KMG、KMG-NKG、NKG-KMG、KMG-NTG、NTG-KMG、KMG-WUH、WUH-KMG、KMG-TCZ、TCZ-KMG、KMG-LUM、LUM-KMG、KMG-CGO、CGO-KMG、KMG-TFU、TFU-KMG航线前返比例为80%;
其他所有航线前返比例为70%;",订B舱,200,固定值,160,,,,B*FHH200,BSP/GP,KMG319/KMG279,"自愿退票：
1、航班规定离站时间前48小时至4小时（含）之前  
2、航班规定离站时间前4小时之后20%；                                       
3、PAT:A或PAT:A#CYLHH",2026年03月29日（含）-2026年06月30日（含）,,,,,,,,,,,,,,,,
KY,KY一路护航,其他所有航线前返比例为70%;,订B舱,200,固定值,140,,,,B*FHH200,BSP/GP,KMG319/KMG279,"自愿退票：
1、航班规定离站时间前48小时至4小时（含）之前  
2、航班规定离站时间前4小时之后20%；                                       
3、PAT:A或PAT:A#CYLHH",2026年03月29日（含）-2026年06月30日（含）,,,,,,,,,,,,,,,,
KY,KY一路护航,指定航线分润80%，其他所有航线前返比例为70%；,订B舱,300,固定值,240,,,,B*FHH300,BSP/GP,KMG319/KMG279,"自愿退票：
1、航班规定离站时间前48小时至4小时（含）之前  
2、航班规定离站时间前4小时之后20%；                                       
3、PAT:A或PAT:A#CYLHH",2026年03月29日（含）-2026年06月30日（含）,,,,,,,,,,,,,,,,
KY,KY一路护航,指定航线分润80%，其他所有航线前返比例为70%；,订B舱,300,固定值,210,,,,B*FHH300,BSP/GP,KMG319/KMG279,"自愿退票：
1、航班规定离站时间前48小时至4小时（含）之前  
2、航班规定离站时间前4小时之后20%；                                       
3、PAT:A或PAT:A#CYLHH",2026年03月29日（含）-2026年06月30日（含）,,,,,,,,,,,,,,,,
KY,KY一路护航,指定航线分润80%，其他所有航线前返比例为70%；,订B舱,400,固定值,320,,,,B*FHH400,BSP/GP,KMG319/KMG279,"自愿退票：
1、航班规定离站时间前48小时至4小时（含）之前  
2、航班规定离站时间前4小时之后20%；                                       
3、PAT:A或PAT:A#CYLHH",2026年03月29日（含）-2026年06月30日（含）,,,,,,,,,,,,,,,,
KY,KY一路护航,指定航线分润80%，其他所有航线前返比例为70%；,订B舱,400,固定值,280,,,,B*FHH400,BSP/GP,KMG319/KMG279,"自愿退票：
1、航班规定离站时间前48小时至4小时（含）之前  
2、航班规定离站时间前4小时之后20%；                                       
3、PAT:A或PAT:A#CYLHH",2026年03月29日（含）-2026年06月30日（含）,,,,,,,,,,,,,,,,
KY,KY商务尊享,"1.特殊航线：
KMG-XIY、XYI-KMG、KMG-XMN、XMN-KMG、KMG-PVG、PVG-KMG、KMG-PEK、PEK-KMG、KMG-CAN、CAN-KMG、KMG-SZX、SZX-KMG、KMG-HGH、HGH-KMG、KMG-NKG、NKG-KMG、KMG-NTG、NTG-KMG、KMG-WUH、WUH-KMG、KMG-TCZ、TCZ-KMG、KMG-LUM、LUM-KMG、KMG-CGO、CGO-KMG、KMG-TFU、TFU-KMG航线前返比例为80%;
其他所有航线前返比例为70%",订B舱,500,固定值,400,,,,B*FHH500,BSP/GP,KMG319/KMG279,"自愿退票：
1、航班规定离站时间前48小时至4小时（含）之前  
2、航班规定离站时间前4小时之后20%；                                       
3、PAT:A或PAT:A#CYLHH",2026年03月29日（含）-2026年06月30日（含）,,,,,,,,,,,,,,,,
KY,KY商务尊享,指定航线分润80%，其他所有航线前返比例为70%；,订B舱,500,固定值,350,,,,B*FHH500,BSP/GP,KMG319/KMG279,"自愿退票：
1、航班规定离站时间前48小时至4小时（含）之前  
2、航班规定离站时间前4小时之后20%；                                       
3、PAT:A或PAT:A#CYLHH",2026年03月29日（含）-2026年06月30日（含）,,,,,,,,,,,,,,,,
KY,KY商务尊享,指定航线分润80%，其他所有航线前返比例为70%；,订B舱,600,固定值,480,,,,B*FHH600,BSP/GP,KMG319/KMG279,"自愿退票：
1、航班规定离站时间前48小时至4小时（含）之前  
2、航班规定离站时间前4小时之后20%；                                       
3、PAT:A或PAT:A#CSWZX",2026年03月29日（含）-2026年06月30日（含）,,,,,,,,,,,,,,,,
KY,KY商务尊享,指定航线分润80%，其他所有航线前返比例为70%；,订B舱,600,固定值,420,,,,B*FHH600,BSP/GP,KMG319/KMG279,"自愿退票：
1、航班规定离站时间前48小时至4小时（含）之前  
2、航班规定离站时间前4小时之后20%；                                       
3、PAT:A或PAT:A#CSWZX","销售日期：2026年4月26日（含）-2026年6月20日（含）
乘机日期：2026年4月26日（含）-2026年6月20日（含）",,,,,,,,,,,,,,,,
KY,KY商务尊享,指定航线分润80%，其他所有航线前返比例为70%；,订B舱,700,固定值,560,,,,B*FHH700,BSP/GP,KMG319/KMG279,"自愿退票：
1、航班规定离站时间前48小时至4小时（含）之前  
2、航班规定离站时间前4小时之后20%；                                       
3、PAT:A或PAT:A#CSWZX","销售日期：2026年4月26日（含）-2026年6月20日（含）
乘机日期：2026年4月26日（含）-2026年6月20日（含）",,,,,,,,,,,,,,,,
KY,KY商务尊享,指定航线分润80%，其他所有航线前返比例为70%；,订B舱,700,固定值,490,,,,B*FHH700,BSP/GP,KMG319/KMG279,"自愿退票：
1、航班规定离站时间前48小时至4小时（含）之前  
2、航班规定离站时间前4小时之后20%；                                       
3、PAT:A或PAT:A#CSWZX","销售日期：2026年4月26日（含）-2026年6月20日（含）
乘机日期：2026年4月26日（含）-2026年6月20日（含）",,,,,,,,,,,,,,,,
KY,KY商务尊享,指定航线分润80%，其他所有航线前返比例为70%；,订B舱,800,固定值,640,,,,B*FHH800,BSP/GP,KMG319/KMG279,"自愿退票：
1、航班规定离站时间前48小时至4小时（含）之前  
2、航班规定离站时间前4小时之后20%；                                       
3、PAT:A或PAT:A#CSWZX","销售日期：2026年4月26日（含）-2026年6月20日（含）
乘机日期：2026年4月26日（含）-2026年6月20日（含）",,,,,,,,,,,,,,,,
KY,KY商务尊享,指定航线分润80%，其他所有航线前返比例为70%；,订B舱,800,固定值,560,,,,B*FHH800,BSP/GP,KMG319/KMG279,"自愿退票：
1、航班规定离站时间前48小时至4小时（含）之前  
2、航班规定离站时间前4小时之后20%；                                       
3、PAT:A或PAT:A#CSWZX","销售日期：2026年4月26日（含）-2026年6月20日（含）
乘机日期：2026年4月26日（含）-2026年6月20日（含）",,,,,,,,,,,,,,,,
KY,KY商务尊享,指定航线分润80%，其他所有航线前返比例为70%；,订B舱,900,固定值,720,,,,B*FHH900,BSP/GP,KMG319/KMG279,"自愿退票：
1、航班规定离站时间前48小时至4小时（含）之前  
2、航班规定离站时间前4小时之后20%；                                       
3、PAT:A或PAT:A#CSWZX","销售日期：2026年4月26日（含）-2026年6月20日（含）
乘机日期：2026年4月26日（含）-2026年6月20日（含）",,,,,,,,,,,,,,,,
KY,KY商务尊享,指定航线分润80%，其他所有航线前返比例为70%；,订B舱,900,固定值,630,,,,B*FHH900,BSP/GP,KMG319/KMG279,"自愿退票：
1、航班规定离站时间前48小时至4小时（含）之前  
2、航班规定离站时间前4小时之后20%；                                       
3、PAT:A或PAT:A#CSWZX","销售日期：2026年4月26日（含）-2026年6月20日（含）
乘机日期：2026年4月26日（含）-2026年6月20日（含）",,,,,,,,,,,,,,,,
KY,KY商务尊享,指定航线分润80%，其他所有航线前返比例为70%；,订B舱,1000,固定值,800,,,,B*FHH1000,BSP/GP,KMG319/KMG279,"自愿退票：
1、航班规定离站时间前48小时至4小时（含）之前  
2、航班规定离站时间前4小时之后20%；                                       
3、PAT:A或PAT:A#CSWZX","销售日期：2026年4月26日（含）-2026年6月20日（含）
乘机日期：2026年4月26日（含）-2026年6月20日（含）",,,,,,,,,,,,,,,,
