航司,产品名称,航线,订座舱位,上浮价格,前返计算方式 ,前返计算值,后返计算方式,后返计算值,定额代理费,运价标识,票证类型,出票OFFICE,备注,有效及截止日期,创建人,创建时间,,,,,,,,,,,,,,
MF,MF易登机,昆明（丽江）进出港,B/M/L/K/ N/ Q/V/T/R/ U/Z,60,固定值,30,,,,ZFKMG1621,GP/BSP,KMG319,座位预留，全渠道,2025.12.1-2027.12.31,,,,,,,,,,,,,,,,
MF,MF易登机,昆明（丽江）进出港:,B/M/L/K/ N/ Q/V/T/R/ U/Z,180,固定值,30,90,,,ZFKMG1622,GP/BSP,KMG319,昆明或丽江国际机场指定贵宾厅内出港(或进港)增值服务一次。（云南只有4家代理有此政策），在FD公布运价基础上直接维护增值服务价格，R/U/Z特价舱位按以下折扣换算:R舱 = Y舱全票价 x0.43U舱 =Y舱全票价x0.35Z舱=Y舱全票价x0.30价格换算结果四舍五入到10元,2025.12.1-2027.12.31,,,,,,,,,,,,,,,,
MF,MF易登机,昆明（丽江）进出港,B/M/L/K/ N/ Q/V/T/R/ U/Z,300,固定值,45,140,,,ZFKMG1623,GP/BSP,KMG319,昆明或丽江服务商提供酒店住宿优惠权益一次。（云南只有4家代理有此政策），公布运价基础上直接维护增值服务价格，R/U/Z特价舱位按以下折扣换算:R舱 = Y舱全票价 x0.43U舱 =Y舱全票价x0.35Z舱=Y舱全票价x0.30价格换算结果四舍五入到10元,2025.12.1-2027.12.31,,,,,,,,,,,,,,,,
MF,MF易登机,昆明（丽江）进出港,B/M/L/K/ N/ Q/V/T/R/ U/Z,420,固定值,51,230,,,ZFKMG1624,GP/BSP,KMG319,昆明或丽江国际机场指定贵宾厅内出港(或进港)增值服务一次，同时获得昆明市区二环内单边专车送机(或接机)次。（云南只有4家代理有此政策）R/U/Z特价舱位按以下折扣换算:R舱 = Y舱全票价 x0.43U舱 =Y舱全票价x0.35Z舱=Y舱全票价x0.30价格换算结果四舍五入到10元,2025.12.1-2027.12.31,,,,,,,,,,,,,,,,
MF,产品三,所有航线,K/N/Q/V/T/R/U/Z舱，加价规则同产品,100,固定值,70,,,,YCZZF2103,GP/BSP,KMG319,专属客户经理服务,有效,,,,,,,,,,,,,,,,
MF,产品四,所有航线,N/QN/T/R/U/Z舱，加价规则同产品一,220,固定值,154,,,,YCZZF2104,GP/BSP,KMG319,"航班计划起飞时间前24小时外(不含24小时)
免收自愿变更手续费1次",有效,,,,,,,,,,,,,,,,
MF,产品七,所有航线,K/N/QN/T舱，加价规则同产品五,100,固定值,70,,,,YMUZF2103,GP/BSP,KMG319,专属客户经理服务,有效,,,,,,,,,,,,,,,,
MF,产品八,所有航线,N/QV/T舱，加价规则同产品五,220,固定值,154,,,,YMUZF2104,GP/BSP,KMG319,航班计划起飞时间前24小时外(不含24小时)免收自愿变更手续费1次,有效,,,,,,,,,,,,,,,,
MF,产品十一,所有航线,K/Q/V/R/U/Z舱，加价规则同产品九,100,固定值,70,,,,Y3UZF2103,GP/BSP,KMG319,专属客户经理服务,有效,,,,,,,,,,,,,,,,
MF,产品十二,所有航线,QNV/R/U/Z舱，加价规则同产品九,220,固定值,154,,,,Y3UZF2104,GP/BSP,KMG319,"航班计划起飞时间前24小时外(不含24小时)
免收自愿变更手续费1次",有效,,,,,,,,,,,,,,,,
MF,产品十五,所有航线,K/Q/T/R/舱，加价规则同产品十三,100,固定值,70,,,,YGJZF2103,GP/BSP,KMG319,专客户经理服务,有效,,,,,,,,,,,,,,,,
MF,产品十六,所有航线,Q/T/R/U舱，加价规则同产品十三,220,固定值,154,,,,YGJZF2104,GP/BSP,KMG319,"航班计划起飞时间前24小时外(不含24小时)
免收自愿变更手续费1次",有效,,,,,,,,,,,,,,,,
MF,产品十九,所有航线,N/Q/V/T/R/U/Z舱，加价规则同产品十七,100,固定值,70,,,,YG5ZF2103,GP/BSP,KMG319,专属客户经理服务,有效,,,,,,,,,,,,,,,,
MF,产品二十,所有航线,V/T/R/U/Z舱，加价规则同产品十七,220,固定值,154,,,,YG5ZF2104,GP/BSP,KMG319,"航班计划起飞时间前24小时外(不含24小时)
免收自愿变更手续费1次",有效,,,,,,,,,,,,,,,,
MF,产品二十三,所有航线,D/I/M/L/K/N/Q/V/T/R/U/Z舱，加价规则同产品二十一,100,固定值,70,,,,YNSZF2103,GP/BSP,KMG319,"专属客户经理服务,旅游代码：JNSZF2103(DI舱)",有效,,,,,,,,,,,,,,,,
MF,产品二十四,所有航线,D/I/K/N/QV/T/R/U/Z舱，加价规则同产品二十一,220,固定值,154,,,,YNSZF2104,GP/BSP,KMG319,"航班计划起飞时间前24小时外(不含24小时)
免收自愿变更手续费1次，旅游代码JNSZF2104(DI舱)",有效,,,,,,,,,,,,,,,,
MF,产品二十七,所有航线,M/L/K/N/QNI舱，加价规则同产品二十五,100,固定值,70,,,,YRYZF2103,GP/BSP,KMG319,专属客户经理服务,有效,,,,,,,,,,,,,,,,
MF,产品二十八,所有航线,K/N/QN/T舱，加价规则同产品二十五,220,固定值,154,,,,YRYZF2104,GP/BSP,KMG319,"航班计划起飞时间前24小时外(不含24小时)
免收自愿变更手续费1次",有效,,,,,,,,,,,,,,,,
