航司,产品名称,航线,订座舱位,上浮价格,前返计算方式,前返计算值,后返计算方式,后返计算值,定额代理费,运价标识,票证类型,出票OFFICE,备注,有效截止日期,创建人,创建时间
MU,MU、GP免费快速安检通道,昆明出港GP,,不限,固定值,,固定值,免费东01安检通道,,,GP,KMG319/KMG279,发送“名字+票号+航班号 航程+日期时间+人数+服务需求”到QQ保障群704876602,有效,,
MU,MU、GP高舱免费接送,昆明进出港GP+集团客户47开头,"GP/U、F、J、C、D、Q、I、W、P、Y、B、
M、E、K舱。",1000票面以上,固定值,,固定值,免费接送机,,,GP,KMG319,分号限量使用，需要完成对应指标,,,
MU,MU、GP高舱免费接送,昆明进出港GP+集团客户47开头,接送机适用舱位:U、F、J、C、D、Q、I、W、P、Y、B、M、E、K、L、N、R、S、V舱，GP 和集团客户均可使用，且实际出票净票价(不含税费)单程须在人民币500元(含)以上。,500票面以上,固定值,,固定值,免费接送机,,,GP,KMG319,接送机服务一张东航票号对应免费享受东航提供昆明长水机场与昆明市区指定区域接送机服务。所赠接、送机服务，乘机当日有效。即日起至2025年03月31日,,,
MU,MU、里程优享,所有航线(所有GP优享产品可适用于航前4小时免费改期的政策),C/D/Q/I/P/B/M/E/K/L/N/R/S/V,80,固定值,,固定值,GP: 40元  L5 300里程,,GPL5,GP,KMG319/KMG279/CTU152/SZX146,"1.旅客类型‘’东方万里行‘’会员（限成人）

2.后返（GP都适用）
注意：销售时注意是否有会员号，只能销售有‘’会员号‘’旅客，非会员暂不能销售，如有变动已通知为准。",有效,,
MU,MU、里程优享,所有航线(所有GP优享产品可适用于航前4小时免费改期的政策),C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z,150,固定值,,固定值,GP:75元   L1 600里程,,GPL1,GP,KMG319,,,,
MU,MU、里程优享,所有航线(所有GP优享产品可适用于航前4小时免费改期的政策),C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z,260,固定值,,固定值,GP:130元  L2 1200里程,,GPL2,GP,KMG319,,,,
MU,MU、里程优享,所有航线(所有GP优享产品可适用于航前4小时免费改期的政策),C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z,370,固定值,,固定值,GP:185元  (L3) 1800里程,,GPL3,GP,KMG319,,,,
MU,MU、里程优享,所有航线(所有GP优享产品可适用于航前4小时免费改期的政策),C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z,530,固定值,,固定值,GP:265 (L4) 2400里程,,GPL4,GP,KMG319,,,,
MU,MU、里程优享,所有航线(所有GP优享产品可适用于航前4小时免费改期的政策),C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z,800,固定值,,固定值,GP:400元（里程1800）L6 3600里程,,GPL6,GP,KMG319,,,,
MU,MU、里程优享,所有航线(所有GP优享产品可适用于航前4小时免费改期的政策),C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z,1000,固定值,,固定值,GP:500元（里程2400）L7 4800里程,,GPL7,GP,KMG319,,,,
MU,MU、里程优享,所有航线(所有BSP优享产品),C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z,80,固定值,,固定值,BSP:30   L5 300里程,,L5,BSP,KMG319/KMG279/CTU152/SZX146,,,,
MU,MU、里程优享,所有航线(所有BSP优享产品),C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z,150,固定值,,固定值,BSP:60   L1 600里程,,L1,BSP,KMG319/KMG279/CTU152,,"销售日期：不限
承运日期：2026 年 4 月 1 日-2026 年 12 月 31 日",,
MU,MU、里程优享,所有航线(所有BSP优享产品),C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z,260,固定值,,固定值,BSP:110    L2 1200里程,,L2,BSP,KMG319/KMG279/CTU152,,,,
MU,MU、里程优享,所有航线(所有BSP优享产品),C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z,370,固定值,,固定值,BSP:130 L3  1800里程,,L3,BSP,KMG319/KMG279/CTU152,,,,
MU,MU、里程优享,所有航线(所有BSP优享产品),C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z,530,固定值,,固定值,BSP:200  L4 2400里程,,L4,BSP,KMG319/KMG279/CTU152,,,,
MU,MU、里程优享,所有航线(所有BSP优享产品),C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z,800,固定值,,固定值,BSP:320  L6 3600里程,,L6,BSP,KMG319/KMG279/CTU152,,,,
MU,MU、里程优享,所有航线(所有BSP优享产品),C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z,1000,固定值,,固定值,BSP:350 L7 4800里程,,L7,BSP,KMG319/KMG279/CTU152,,,,
MU,GP 渠道“里程优享”4.1-12.31,所有航线,C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z,80,固定值,,固定值,20          300里程,,GPL5,GP,KMG319,"使用 GP 里程优享产品，可享受航前 4 小时免费改期的权
益。",,,
MU,GP 渠道“里程优享”4.1-12.31,所有航线,C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z,150,固定值,,固定值,38           600里程,,GPL1,GP,KMG319,,,,
MU,GP 渠道“里程优享”4.1-12.31,所有航线,C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z,260,固定值,,固定值,65          1200里程,,GPL2,GP,KMG319,,,,
MU,GP 渠道“里程优享”4.1-12.31,所有航线,C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z,370,固定值,,固定值,93           1800里程,,GPL3,GP,KMG319,,,,
MU,GP 渠道“里程优享”4.1-12.31,所有航线,C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z,530,固定值,,固定值,133          2400里程,,GPL4,GP,KMG319,,,,
MU,GP 渠道“里程优享”4.1-12.31,所有航线,C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z,800,固定值,,固定值,200          3600里程,,GPL6,GP,KMG319,,,,
MU,GP 渠道“里程优享”4.1-12.31,所有航线,C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z,1000,固定值,,固定值,250          4800里程,,GPL7,GP,KMG319,,,,
MU,“里程优享”4.1-12.31,所有航线,C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z,80,固定值,,固定值,20         L5  300里程,,LCYX300,BSP,KMG319,"销售渠道：BSP/B2T
销售日期：即日起-2026 年 12 月 31 日
承运日期：2026 年 4 月 1 日-2026 年 12 月 31 日（具体
以运价发布时间为准）",,,
MU,“里程优享”4.1-12.31,所有航线,C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z,150,固定值,,固定值,38         L1   600里程,,LCYX600,BSP,KMG319,,,,
MU,“里程优享”4.1-12.31,所有航线,C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z,260,固定值,,固定值,65          L2 1200里程,,LCYX1200,BSP,KMG319,,,,
