航司,产品名称,航线,订座舱位,上浮价格,前返计算方式 ,前返计算值,后返计算方式,后返计算值,定额代理费,运价标识,票证类型,出票OFFICE,备注,有效及截止日期,创建人,创建时间,,,,,,,,,,,,,,
NS,NS高舱产品,所有航线,Y/B/M/L/K/N/Q/V/T舱,120,百分比,给予溢价金额25%-30%的代理费,,,,订座舱位+实时外放最低舱位+TC+航线类别+001,GP/BSP,KMG319/KMG279,"在外放低舱时可直接预订高舱出票，根据其所订舱位与外放舱位价差，给予相应比例的代理费奖励。
需向旅客提供专属客户服务。
需向旅客说明产品权益和当前外放价格供旅客自主选择，与旅客达成一致后再行出票。",长期有效,,,,,,,,,,,,,,,,
NS,NS畅飞商旅,所有航线，免改产品,B/M/L/K/N/Q/V/T/R/U/Z 舱,220,固定值,70,,,,出票指令：PAT:A#C23SCCP004                 PAT:A#C23SCCP004/CGP/CC,GP/BSP,KMG319/KMG279,"购买本产品的客户仅限在航班计划起飞时间前
72/48/24/12 小时（不含）以外享有 1 次免收自愿变更费的
权益，超过该范畴的部分按照当期有效《河北航国内旅客运
输票价和使用条件》办理",有效,,,,,,,,,,,,,,,,
NS,NS畅飞商旅,所有航线，免改产品,B/M/L/K/N/Q/V/T/R/U/Z 舱,340,固定值,110,,,,出票指令：PAT:A#C23SCCP004                 PAT:A#C23SCCP004/CGP/CC,GP/BSP,KMG319/KMG279,"购买本产品的客户仅限在航班计划起飞时间前
72/48/24/12 小时（不含）以外享有 1 次免收自愿变更费的
权益，超过该范畴的部分按照当期有效《河北航国内旅客运
输票价和使用条件》办理",有效,,,,,,,,,,,,,,,,
NS,NS畅飞商旅,所有航线，免改产品,B/M/L/K/N/Q/V/T/R/U/Z 舱,480,固定值,150,,,,出票指令：PAT:A#C23SCCP004                 PAT:A#C23SCCP004/CGP/CC,GP/BSP,KMG319/KMG279,"购买本产品的客户仅限在航班计划起飞时间前
72/48/24/12 小时（不含）以外享有 1 次免收自愿变更费的
权益，超过该范畴的部分按照当期有效《河北航国内旅客运
输票价和使用条件》办理",有效,,,,,,,,,,,,,,,,
NS,NS畅飞商旅,所有航线，免改产品,B/M/L/K/N/Q/V/T/R/U/Z 舱,600,固定值,190,,,,出票指令：PAT:A#C23SCCP004                 PAT:A#C23SCCP004/CGP/CC,GP/BSP,KMG319/KMG279,"购买本产品的客户仅限在航班计划起飞时间前
72/48/24/12 小时（不含）以外享有 1 次免收自愿变更费的
权益，超过该范畴的部分按照当期有效《河北航国内旅客运
输票价和使用条件》办理",有效,,,,,,,,,,,,,,,,
NS,NS冀悦行,所有航线,仅限B/M/L/K/N/Q/V/T/R/U/Z舱及其子舱位，,120,固定值,40,,,,TJY120F40,GP/BSP,KMG319/KMG279,"1、订票舱位代码+JY+产品运价+F+定额代理费,
2、一次免收自愿变更手续费或免收自愿退票费（二选一）
3、石家庄机场出港专属值机柜台权益
PAT:A#CJYX",有效,,,,,,,,,,,,,,,,
NS,NS冀悦行,所有航线,仅限B/M/L/K/N/Q/V/T/R/U/Z舱及其子舱位，,240,固定值,80,,,,TJY240F80,GP/BSP,KMG319/KMG279,"1、订票舱位代码+JY+产品运价+F+定额代理费,
2、一次免收自愿变更手续费或免收自愿退票费（二选一）
3、石家庄机场出港专属值机柜台权益
PAT:A#CJYX",有效,,,,,,,,,,,,,,,,
NS,NS冀悦行,所有航线,仅限B/M/L/K/N/Q/V/T/R/U/Z舱及其子舱位，,360,固定值,140,,,,TJY360F140,GP/BSP,KMG319/KMG279,"1、订票舱位代码+JY+产品运价+F+定额代理费,
2、一次免收自愿变更手续费或免收自愿退票费（二选一）
3、石家庄机场出港专属值机柜台权益
PAT:A#CJYX",有效,,,,,,,,,,,,,,,,
NS,NS冀悦行,所有航线,,480,固定值,180,,,,TJY480F180,GP/BSP,KMG319/KMG279,"1、订票舱位代码+JY+产品运价+F+定额代理费,
2、一次免收自愿变更手续费或免收自愿退票费（二选一）
3、石家庄机场出港专属值机柜台权益
PAT:A#CJYX",有效,,,,,,,,,,,,,,,,
NS,NS冀悦行,所有航线,仅限B/M/L/K/N/Q/V/T/R/U/Z舱及其子舱位，,600,固定值,230,,,,TJY600F230,GP/BSP,KMG319/KMG279,"1、订票舱位代码+JY+产品运价+F+定额代理费,
2、一次免收自愿变更手续费或免收自愿退票费（二选一）
3、石家庄机场出港专属值机柜台权益
PAT:A#CJYX",有效,,,,,,,,,,,,,,,,
