航司,产品名称,航线,订座舱位,上浮价格,前返计算方式 ,前返计算值,后返计算方式,后返计算值,定额代理费,运价标识,票证类型,出票OFFICE,备注,有效及截止日期,创建人,创建时间,,,,,,,,,,,,,,
RY,RY江西航空溢价产品,所有航线,"外放舱位,程加享A档",380,固定值,130,,,,,GP/BSP,KMG319/KMG279,PAT:A#CLCIXA，赠送白鹭会员积分2500积分,有效,,,,,,,,,,,,,,,,
RY,RY江西航空溢价产品,所有航线,"外放舱位,里程加享B档外",280,固定值,100,,,,,GP/BSP,KMG319/KMG279,PAT:A#CLCJXB，赠送白鹭会员积分1800积分,有效,,,,,,,,,,,,,,,,
RY,RY江西航空溢价产品,所有航线,"外放舱位,里程加享C档",200,固定值,80,,,,,GP/BSP,KMG319/KMG279,PAT:A#CLCJXC，赠送白鹭会员积分1200积分,有效,,,,,,,,,,,,,,,,
RY,RY江西航空溢价产品,所有航线,"外放舱位,里程加享D档",100,固定值,40,,,,,GP/BSP,KMG319/KMG279,PAT:A#CLCJXD，赠送白鹭会员积分600积分,有效,,,,,,,,,,,,,,,,
RY,RY江西航空溢价产品,所有航线,"外放舱位,退改无忧",160,固定值,80,,,,,GP/BSP,KMG319/KMG279,PAT:A#CTGWY，赠7天外免费自愿退票权益或航班起飞前4小时外免费改期一次权益,有效,,,,,,,,,,,,,,,,
RY,RY江西航空溢价产品,所有航线,"外放舱位,改期无忧",60,固定值,30,,,,,GP/BSP,KMG319/KMG279,PAT:A#CGQWY，赠送航班起飞前4小时外免费改期一次权益,有效,,,,,,,,,,,,,,,,
RY,RY江西航空溢价产品,所有航线,"外放舱位,任畅行A档",160,固定值,110,,,,,GP/BSP,KMG319/KMG279,PAT:A#CRCXA，由代理人提供服务内容,有效,,,,,,,,,,,,,,,,
RY,RY江西航空溢价产品,所有航线,"外放舱位,任畅行B档",100,固定值,70,,,,,GP/BSP,KMG319/KMG279,PAT:A#CRCXB，由代理人提供服务内容,有效,,,,,,,,,,,,,,,,
RY,RY江西航空溢价产品,所有航线,"外放舱位,任畅行C档",60,固定值,40,,,,,GP/BSP,KMG319/KMG279,PAT:A#CRCXC，由代理人提供服务内容,有效,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
