航司,产品名称,航线,订座舱位,上浮价格,前返计算方式 ,前返计算值,后返计算方式,后返计算值,定额代理费,运价标识,票证类型,出票OFFICE,备注,有效及截止日期,创建人,创建时间,,,,,,,,,,,,,,
SC,SC旅行优享,所有航线,B/M/U/H/Q/V/W/S/L/K,110,固定值,55,,,10,*/SWX110,GP/BSP,KMG319/KMG279,指定航班航段，基本异地航线（见附件）,2026 年 5 月 11 日-2026 年 07 月 10 日,,,,,,,,,,,,,,,,
SC,SC免改优享,所有航线,B/M/U/H/Q/V/W/S/L/K,170,固定值,80,,,,/SWX170,GP/BSP,KMG319/KMG279,SC免改优享（机+“改期”），1、赠送起飞前 36H 免费改期 1 次,2026 年 5 月 11 日-2026 年 07 月 10 日,,,,,,,,,,,,,,,,
SC,SC免改优享,所有航线,B/M/U/H/Q/V/W/S/L/K,200,固定值,95,,,,*/SWX200,GP/BSP,KMG319/KMG279,SC免改优享（机+“改期”），1、赠送起飞前 24H 免费改期 1 次,2026 年 5 月 11 日-2026 年 07 月 10 日,,,,,,,,,,,,,,,,
SC,SC免改优享,所有航线,B/M/U/H/Q/V/W/S/L/K,230,固定值,110,,,,*/SWX230,GP/BSP,KMG319/KMG279,SC免改优享（机+“改期”），1、赠送起飞前 12H 免费改期 1 次,2026 年 5 月 11 日-2026 年 07 月 10 日,,,,,,,,,,,,,,,,
SC,SC免改优享,所有航线,B/M/U/H/Q/V/W/S/L/K,500,固定值,250,,,,*7SWX5,GP/BSP,KMG319/KMG279,SC免改优享（机+“改期”），改期权益随票自动交付,销售日期：2026 年 4 月 4 日-2026 年 12 月 31 日,,,,,,,,,,,,,,,,
SC,SC退票优享,所有航线,B/M/U/H/Q/V/W/S/L/K,400,固定值,200,,,,*/SWXTP4,GP/BSP,KMG319/KMG279,"1、航班起飞 48 小时（含）之前，自
愿退票仅收取 160 元固定手续费。",销售日期：2026 年 4 月 4 日-2026 年 12 月 31 日,,,,,,,,,,,,,,,,
SC,SC退票优享,所有航线,B/M/U/H/Q/V/W/S/L/K,600,固定值,300,,,,*/SWXTP6,GP/BSP,KMG319/KMG279,"1、航班起飞 24 小时（含）之前，自
愿退票仅收取 180 元固定手续费。",销售日期：2026 年 4 月 4 日-2026 年 12 月 31 日,,,,,,,,,,,,,,,,
SC,SC退票优享,所有航线,B/M/U/H/Q/V/W/S/L/K,800,固定值,400,,,,*/SWXTP8,GP/BSP,KMG319/KMG279,"1、航班起 12 小时（含）之前，自愿
退票仅收取 220 元固定手续费。",销售日期：2026 年 4 月 4 日-2026 年 12 月 31 日,,,,,,,,,,,,,,,,
SC,SC畅达优享,所有航线,B/M/U/H/Q/V/W/S/L/K,130,固定值,40,,,,*SWXJS1,GP/BSP,KMG319/KMG279,"1、起飞前 48 小时免费改期 1 次
2、20 元用车优惠券*1 张
3、30 元用车优惠券*1 张",销售日期：2026 年 4 月 4 日-2026 年 12 月 31 日,,,,,,,,,,,,,,,,
SC,SC畅达优享,所有航线,B/M/U/H/Q/V/W/S/L/K,240,固定值,70,,,,*SWXJS2,GP/BSP,KMG319/KMG279,"1、起飞前 48 小时免费改期 1 次
2、100 元用车优惠券*1 张",销售日期：2026 年 4 月 4 日-2026 年 12 月 31 日,,,,,,,,,,,,,,,,
