航司,产品名称,航线,订座舱位,上浮价格,前返计算方式 ,前返计算值,后返计算方式,后返计算值,定额代理费,运价标识,票证类型,出票OFFICE,备注,有效及截止日期,创建人,创建时间,,,,,,,,,,,,,,
TV,TV商行无忧产品,全国航线，平淡季时间,R舱以上订座上浮，BB-Q公布运价+40元,40,固定值,20,,,,*YFPMA040,GP/BSP,KMG319/KMG279/CTU152,无免改,"平淡季时间：2026年4月13日-2026年4月29日（含）
2026年5月7日-2026年6月17日（含）",,,,,,,,,,,,,,,,
TV,TV商行无忧产品,全国航线，平淡季时间,R舱以上订座上浮，B-Q公布运价+60元,60,固定值,30,,,,*YFPMB060,GP/BSP,KMG319/KMG279/CTU152,航班起飞前4小时外免改一次,"平淡季时间：2026年4月13日-2026年4月29日（含）
2026年5月7日-2026年6月17日（含）",,,,,,,,,,,,,,,,
TV,TV商行无忧产品,全国航线，平淡季时间,R舱以上订座上浮，B-Q公布运价+90元,90,固定值,45,,,,*YFPMB090,GP/BSP,KMG319/KMG279/CTU152,航班起飞前4小时外免改一次,"平淡季时间：2026年4月13日-2026年4月29日（含）
2026年5月7日-2026年6月17日（含）",,,,,,,,,,,,,,,,
TV,TV商行无忧产品,全国航线，平淡季时间,R舱以上订座上浮，B-Q公布运价+140元,140,固定值,70,,,,*YFPMC140,GP/BSP,KMG319/KMG279/CTU152,航班起飞前4小时外免改两次,"平淡季时间：2026年4月13日-2026年4月29日（含）
2026年5月7日-2026年6月17日（含）",,,,,,,,,,,,,,,,
TV,TV商行无忧产品,全国航线，平淡季时间,R舱以上订座上浮，B-Q公布运价+240元,240,固定值,144,,,,*YFPMC240,GP/BSP,KMG319/KMG279/CTU152,航班起飞前4小时外免改一次,"平淡季时间：2026年4月13日-2026年4月29日（含）
2026年5月7日-2026年6月17日（含）",,,,,,,,,,,,,,,,
TV,TV商行无忧产品,全国航线，平淡季时间,R舱以上订座上浮，B-Q公布运价+340元,340,固定值,221,,,,*YFPMD340,GP/BSP,KMG319/KMG279/CTU152,航班起飞前4小时外免改三次,"平淡季时间：2026年4月13日-2026年4月29日（含）
2026年5月7日-2026年6月17日（含）",,,,,,,,,,,,,,,,
TV,TV商行无忧产品,全国航线，平淡季时间,R舱以上订座上浮，B-Q公布运价+440元,440,固定值,286,,,,*YFPMD440,GP/BSP,KMG319/KMG279/CTU152,航班起飞前4小时外免改三次,"平淡季时间：2026年4月13日-2026年4月29日（含）
2026年5月7日-2026年6月17日（含）",,,,,,,,,,,,,,,,
TV,TV商行无忧产品,全国航线，平旺季时间,R舱以上订座上浮，B-Q公布运价+40元,40,固定值,20,,,,*YFPMA040,GP/BSP,KMG319/KMG279/CTU152,无免改,"2026年3月29日-2026年4月12日（含），
2026年4月30日-2026年5月6日（含）， 
2026年6月18日-2026年6月30日（含）",,,,,,,,,,,,,,,,
TV,TV商行无忧产品,全国航线，平旺季时间,R舱以上订座上浮，B-Q公布运价+60元,60,固定值,25,,,,*YFPMB060,GP/BSP,KMG319/KMG279/CTU152,航班起飞前4小时外免改一次,"2026年3月29日-2026年4月12日（含），
2026年4月30日-2026年5月6日（含）， 
2026年6月18日-2026年6月30日（含）",,,,,,,,,,,,,,,,
TV,TV商行无忧产品,全国航线，平旺季时间,R舱以上订座上浮，B-Q公布运价+90元,90,固定值,40,,,,*YFPMB090,GP/BSP,KMG319/KMG279/CTU152,航班起飞前4小时外免改一次,"2026年3月29日-2026年4月12日（含），
2026年4月30日-2026年5月6日（含）， 
2026年6月18日-2026年6月30日（含）",,,,,,,,,,,,,,,,
TV,TV商行无忧产品,全国航线，平旺季时间,R舱以上订座上浮，B-Q公布运价+140元,140,固定值,70,,,,*YFPMC140,GP/BSP,KMG319/KMG279/CTU152,航班起飞前4小时外免改两次,"2026年3月29日-2026年4月12日（含），
2026年4月30日-2026年5月6日（含）， 
2026年6月18日-2026年6月30日（含）",,,,,,,,,,,,,,,,
TV,TV商行无忧产品,全国航线，平旺季时间,R舱以上订座上浮，B-Q公布运价+240元,240,固定值,144,,,,*YFPMC240,GP/BSP,KMG319/KMG279/CTU152,航班起飞前4小时外免改一次,"2026年3月29日-2026年4月12日（含），
2026年4月30日-2026年5月6日（含）， 
2026年6月18日-2026年6月30日（含）",,,,,,,,,,,,,,,,
TV,TV商行无忧产品,全国航线，平旺季时间,R舱以上订座上浮，B-Q公布运价+340元,340,固定值,221,,,,*YFPMD340,GP/BSP,KMG319/KMG279/CTU152,航班起飞前4小时外免改三次,"2026年3月29日-2026年4月12日（含），
2026年4月30日-2026年5月6日（含）， 
2026年6月18日-2026年6月30日（含）",,,,,,,,,,,,,,,,
TV,TV商行无忧产品,全国航线，平旺季时间,R舱以上订座上浮，B-Q公布运价+440元,440,固定值,286,,,,*YFPMD440,GP/BSP,KMG319/KMG279/CTU152,航班起飞前4小时外免改三次,"2026年3月29日-2026年4月12日（含），
2026年4月30日-2026年5月6日（含）， 
2026年6月18日-2026年6月30日（含）",,,,,,,,,,,,,,,,
TV,TV多段优惠,所有区域任意两段及以上,M-R(含小舱),15天内优惠折扣/运价基础2%,,,,,,15天内优惠折扣/运价基础2%	*YWBAA02,BSP/B2B,KMG319/KMG279/CTU152,注：所有航段除LXA=BPX、LXA=NGQ、APJ=LXA、TFU=NGQ外所涉舱位组合不限.Y/B舱可与以上任意舱位组合，但不享受优惠。,旅行日期:2026.03.29-2026.06.30,,,,,,,,,,,,,,,,
TV,TV多段优惠,其他(除进出藏)任意两段及以上,M-G(含小舱),15天内优惠折扣/运价基础3%,,,,,,15天内优惠折扣/运价基础3%	*YWBAB03,BSP/B2B,KMG319/KMG279/CTU152,注：所有航段除LXA=BPX、LXA=NGQ、APJ=LXA、TFU=NGQ外所涉舱位组合不限.Y/B舱可与以上任意舱位组合，但不享受优惠。,"旅行日期:2026.03.29-2026.04.12
2026.04.30-2026.05.06
2026.06.18-2026.06.30",,,,,,,,,,,,,,,,
TV,TV多段优惠,其他(除进出藏)任意两段及以上,M-R(含小舱),15天内优惠折扣/运价基础4%,,,,,,15天内优惠折扣/运价基础4%	*YWBAB04,BSP/B2B,KMG319/KMG279/CTU152,注：所有航段除LXA=BPX、LXA=NGQ、APJ=LXA、TFU=NGQ外所涉舱位组合不限.Y/B舱可与以上任意舱位组合，但不享受优惠。,"旅行日期:2026.04.13-2026.04.29
2026.05.07-2026.06.17",,,,,,,,,,,,,,,,
TV,TV多段优惠,出藏任意两段及以上,M-G(含小舱),15天内优惠折扣/运价基础4%,,,,,,15天内优惠折扣/运价基础4%	*YWBAC04,BSP/B2B,KMG319/KMG279/CTU152,注：所有航段除LXA=BPX、LXA=NGQ、APJ=LXA、TFU=NGQ外所涉舱位组合不限.Y/B舱可与以上任意舱位组合，但不享受优惠。,"旅行日期:2026.03.29-2026.04.12
2026.04.30-2026.05.06
2026.06.18-2026.06.30",,,,,,,,,,,,,,,,
TV,TV多段优惠,出藏任意两段及以上,M-R(含小舱),15天内优惠折扣/运价基础6%,,,,,,15天内优惠折扣/运价基础6%	*YWBAC06,BSP/B2B,KMG319/KMG279/CTU152,注：所有航段除LXA=BPX、LXA=NGQ、APJ=LXA、TFU=NGQ外所涉舱位组合不限.Y/B舱可与以上任意舱位组合，但不享受优惠。,"旅行日期:2026.04.13-2026.04.29
2026.05.07-2026.06.17",,,,,,,,,,,,,,,,
TV,TV多段优惠,入藏任意两段及以上,M-G(含小舱),15天内优惠折扣/运价基础6%,,,,,,15天内优惠折扣/运价基础6%	*YWBAD06,BSP/B2B,KMG319/KMG279/CTU152,注：所有航段除LXA=BPX、LXA=NGQ、APJ=LXA、TFU=NGQ外所涉舱位组合不限.Y/B舱可与以上任意舱位组合，但不享受优惠。,"旅行日期:2026.03.29-2026.04.12
2026.04.30-2026.05.06
2026.06.18-2026.06.30",,,,,,,,,,,,,,,,
TV,TV多段优惠,入藏任意两段及以上,M-R(含小舱),15天内优惠折扣/运价基础8%,,,,,,15天内优惠折扣/运价基础8%	*YWBAD08,BSP/B2B,KMG319/KMG279/CTU152,注：所有航段除LXA=BPX、LXA=NGQ、APJ=LXA、TFU=NGQ外所涉舱位组合不限.Y/B舱可与以上任意舱位组合，但不享受优惠。,"旅行日期:2026.04.13-2026.04.29
2026.05.07-2026.06.17",,,,,,,,,,,,,,,,
TV,TV多段优惠,所有区域任意两段及以上,M-R(含小舱),15天外优惠折扣/运价基础3%,,,,,,15天外优惠折扣/运价基础3%	*YWBCA03,BSP/B2B,KMG319/KMG279/CTU152,注：所有航段除LXA=BPX、LXA=NGQ、APJ=LXA、TFU=NGQ外所涉舱位组合不限.Y/B舱可与以上任意舱位组合，但不享受优惠。,旅行日期:2026.03.29-2026.06.30,,,,,,,,,,,,,,,,
TV,TV多段优惠,其他(除进出藏)任意两段及以上,M-G(含小舱),15天外优惠折扣/运价基础5%,,,,,,15天外优惠折扣/运价基础5%	*YWBCB05,BSP/B2B,KMG319/KMG279/CTU152,注：所有航段除LXA=BPX、LXA=NGQ、APJ=LXA、TFU=NGQ外所涉舱位组合不限.Y/B舱可与以上任意舱位组合，但不享受优惠。,"旅行日期:2026.03.29-2026.04.12
2026.04.30-2026.05.06
2026.06.18-2026.06.30",,,,,,,,,,,,,,,,
TV,TV多段优惠,其他(除进出藏)任意两段及以上,M-R(含小舱),15天外优惠折扣/运价基础6%,,,,,,15天外优惠折扣/运价基础6%	*YWBCB06,BSP/B2B,KMG319/KMG279/CTU152,注：所有航段除LXA=BPX、LXA=NGQ、APJ=LXA、TFU=NGQ外所涉舱位组合不限.Y/B舱可与以上任意舱位组合，但不享受优惠。,"旅行日期:2026.04.13-2026.04.29
2026.05.07-2026.06.17",,,,,,,,,,,,,,,,
