航司,产品名称,航线,订座舱位,上浮价格,前返计算方式 ,前返计算值,后返计算方式,后返计算值,定额代理费,运价标识,票证类型,出票OFFICE,备注,有效及截止日期,创建人,创建时间,,,,,,,,,,,,,,
ZH,ZH商务如意行,"KMG=SZX=JJN=KHN=YCU=HRB,JHG=SZX=TFU",C/D/R,380,固定值,266,,,,,BSP/GP,KMG319/KMG279/CTU152/SZX146,"自愿退票：
均按照最新版《深航国内运输客票使用条件》相关规定执行。自愿变更
1）2024年12月31日（含），按照航班起飞前4小时，免变更手续费一次；",有效,,,,,,,,,,,,,,,,
ZH,ZH商务如意行,"KMG=SZX=JJN=KHN=YCU=HRB,JHG=SZX=TFU",C/D/R,510,固定值,357,,,,,BSP/GP,KMG319/KMG279/CTU152/SZX146,"自愿退票：
均按照最新版《深航国内运输客票使用条件》相关规定执行。自愿变更
1）2024年12月31日（含），按照航班起飞前4小时，免变更手续费一次；",有效,,,,,,,,,,,,,,,,
ZH,ZH商务如意行,"KMG=SZX=JJN=KHN=YCU=HRB,JHG=SZX=TFU",B/M/U/H/Q/V/W/S,380,固定值,266,,,,,BSP/GP,KMG319/KMG279/CTU152/SZX146,"自愿退票：
均按照最新版《深航国内运输客票使用条件》相关规定执行。自愿变更
1）2024年12月31日（含），按照航班起飞前4小时，免变更手续费一次；",有效,,,,,,,,,,,,,,,,
ZH,ZH商务如意行,"KMG=SZX=JJN=KHN=YCU=HRB,JHG=SZX=TFU",B/M/U/H/Q/V/W/S,510,固定值,357,,,,,BSP/GP,KMG319/KMG279/CTU152/SZX146,"自愿退票：
均按照最新版《深航国内运输客票使用条件》相关规定执行。自愿变更
1）2024年12月31日（含），按照航班起飞前4小时，免变更手续费一次；",有效,,,,,,,,,,,,,,,,
ZH,ZH商务如意行,"KMG=SZX=JJN=KHN=YCU=HRB,JHG=SZX=TFU",K/P,380,固定值,266,,,,,BSP/GP,KMG319/KMG279/CTU152/SZX146,"自愿退票：
均按照最新版《深航国内运输客票使用条件》相关规定执行。自愿变更
1）2024年12月31日（含），按照航班起飞前4小时，免变更手续费一次；",有效,,,,,,,,,,,,,,,,
ZH,ZH商务如意行,"KMG=SZX=JJN=KHN=YCU=HRB,JHG=SZX=TFU",K/P,510,固定值,357,,,,,BSP/GP,KMG319/KMG279/CTU152/SZX146,"自愿退票：
均按照最新版《深航国内运输客票使用条件》相关规定执行。自愿变更
1）2024年12月31日（含），按照航班起飞前4小时，免变更手续费一次；",有效,,,,,,,,,,,,,,,,
ZH,ZH商务如意行（两舱）,所有航线,C/D/Z/R,160,固定值,96,,,10,JGB160,BSP/GP,KMG319/KMG279/CTU152/SZX146,"两舱直加160元（舱位/JGB160)和直加260元(舱位/JGB260）两个档位；经济舱（含公布运价舱和特价舱）直加两个档位，分别为直加140元（                                      舱位/JGB140）和直加200元（舱位/JGB200）的模式     产品奖励金额(舱位变动，具体奖励以销售为准)
直加金额超过200元，按照直加金额不超70%进行返佣；直加金额在100元-200元（含），按照直加金额的60%返佣。                      

航班起飞前四小时（含）之前，B/M/M1/U/U1/H/H1/Q/Q1/V/V1舱免收退票手续费，其余舱位退票按《深航国内运输客票使用条件（202402版）》相关规定执行。航班起飞前四小时之后，退票均按照《深航国内运输客票使用条件（202402版）》相关规定执行。",有效,,,,,,,,,,,,,,,,
ZH,ZH商务如意行（两舱）,所有航线,C/D/Z/R,260,固定值,182,,,10,JGB260,BSP/GP,KMG319/KMG279/CTU152/SZX146,"两舱直加160元（舱位/JGB160)和直加260元(舱位/JGB260）两个档位；经济舱（含公布运价舱和特价舱）直加两个档位，分别为直加140元（                                      舱位/JGB140）和直加200元（舱位/JGB200）的模式     产品奖励金额(舱位变动，具体奖励以销售为准)
直加金额超过200元，按照直加金额不超70%进行返佣；直加金额在100元-200元（含），按照直加金额的60%返佣。                      

航班起飞前四小时（含）之前，B/M/M1/U/U1/H/H1/Q/Q1/V/V1舱免收退票手续费，其余舱位退票按《深航国内运输客票使用条件（202402版）》相关规定执行。航班起飞前四小时之后，退票均按照《深航国内运输客票使用条件（202402版）》相关规定执行。",有效,,,,,,,,,,,,,,,,
ZH,ZH商务如意行（两舱）,所有航线,E,260,固定值,182,,,10,JGB260,BSP/GP,KMG319/KMG279/CTU152/SZX146,"两舱直加160元（舱位/JGB160)和直加260元(舱位/JGB260）两个档位；经济舱（含公布运价舱和特价舱）直加两个档位，分别为直加140元（                                      舱位/JGB140）和直加200元（舱位/JGB200）的模式     产品奖励金额(舱位变动，具体奖励以销售为准)
直加金额超过200元，按照直加金额不超70%进行返佣；直加金额在100元-200元（含），按照直加金额的60%返佣。                      

航班起飞前四小时（含）之前，B/M/M1/U/U1/H/H1/Q/Q1/V/V1舱免收退票手续费，其余舱位退票按《深航国内运输客票使用条件（202402版）》相关规定执行。航班起飞前四小时之后，退票均按照《深航国内运输客票使用条件（202402版）》相关规定执行。",有效,,,,,,,,,,,,,,,,
ZH,ZH商务如意行（两舱）,所有航线,E,160,固定值,112,,,10,JGB160,BSP/GP,KMG319/KMG279/CTU152/SZX146,"两舱直加160元（舱位/JGB160)和直加260元(舱位/JGB260）两个档位；经济舱（含公布运价舱和特价舱）直加两个档位，分别为直加140元（                                      舱位/JGB140）和直加200元（舱位/JGB200）的模式     产品奖励金额(舱位变动，具体奖励以销售为准)
直加金额超过200元，按照直加金额不超70%进行返佣；直加金额在100元-200元（含），按照直加金额的60%返佣。                      

航班起飞前四小时（含）之前，B/M/M1/U/U1/H/H1/Q/Q1/V/V1舱免收退票手续费，其余舱位退票按《深航国内运输客票使用条件（202402版）》相关规定执行。航班起飞前四小时之后，退票均按照《深航国内运输客票使用条件（202402版）》相关规定执行。",有效,,,,,,,,,,,,,,,,
ZH,ZH商务如意行（经济舱）,所有航线,B/M/MI/U,200,固定值,120,,,5,JGB200,BSP/GP,KMG319/KMG279/CTU152/SZX146,"
总部产品采取两舱直加160元（舱位/JGB160)和直加260元(舱位/JGB260）两个档位；经济舱（含公布运价舱和特价舱）直加三个档位，分别为直加50元（舱位/JGB50）、140元（舱位/JGB140）和直加200元（舱位/JGB200）的模式。
",2025.01.01(含)2025.12.31(含),,,,,,,,,,,,,,,,
ZH,ZH商务如意行（经济舱）,所有航线,H/H1/Q/QI/V/V1/W/S/S1,200,固定值,120,,,5,JGB200,,KMG319/KMG279/CTU152/SZX146,"
总部产品采取两舱直加160元（舱位/JGB160)和直加260元(舱位/JGB260）两个档位；经济舱（含公布运价舱和特价舱）直加三个档位，分别为直加50元（舱位/JGB50）、140元（舱位/JGB140）和直加200元（舱位/JGB201）的模式。
",2025.01.01(含)2025.12.31(含),,,,,,,,,,,,,,,,
ZH,ZH商务如意行（经济舱）,所有航线,K/P,200,固定值,120,,,2,JGB200,BSP/GP,KMG319/KMG279/CTU152/SZX146,"
总部产品采取两舱直加160元（舱位/JGB160)和直加260元(舱位/JGB260）两个档位；经济舱（含公布运价舱和特价舱）直加三个档位，分别为直加50元（舱位/JGB50）、140元（舱位/JGB140）和直加200元（舱位/JGB202）的模式。
",2025.01.01(含)2025.12.31(含),,,,,,,,,,,,,,,,
ZH,ZH商务如意行（经济舱）,所有航线,B/M/M1/U,140,固定值,84,,,5,JGB140,BSP/GP,KMG319/KMG279/CTU152/SZX146,"
总部产品采取两舱直加160元（舱位/JGB160)和直加260元(舱位/JGB260）两个档位；经济舱（含公布运价舱和特价舱）直加三个档位，分别为直加50元（舱位/JGB50）、140元（舱位/JGB140）和直加200元（舱位/JGB203）的模式。
",2025.01.01(含)2025.12.31(含),,,,,,,,,,,,,,,,
ZH,ZH商务如意行（经济舱）,所有航线,H/H1/Q/QI/V/V1/W/S/S1,140,固定值,84,,,5,JGB140,BSP/GP,KMG319/KMG279/CTU152/SZX146,"
总部产品采取两舱直加160元（舱位/JGB160)和直加260元(舱位/JGB260）两个档位；经济舱（含公布运价舱和特价舱）直加三个档位，分别为直加50元（舱位/JGB50）、140元（舱位/JGB140）和直加200元（舱位/JGB204）的模式。
",2025.01.01(含)2025.12.31(含),,,,,,,,,,,,,,,,
ZH,ZH商务如意行（经济舱）,所有航线,K/P,140,固定值,84,,,2,JGB140,BSP/GP,KMG319/KMG279/CTU152/SZX146,"
总部产品采取两舱直加160元（舱位/JGB160)和直加260元(舱位/JGB260）两个档位；经济舱（含公布运价舱和特价舱）直加三个档位，分别为直加50元（舱位/JGB50）、140元（舱位/JGB140）和直加200元（舱位/JGB205）的模式。
",2025.01.01(含)2025.12.31(含),,,,,,,,,,,,,,,,
ZH,ZH商务如意行（经济舱）,所有航线,K/P,50,固定值,25,,,5,JGB50,BSP/GP,KMG319/KMG279/CTU152/SZX146,"
总部产品采取两舱直加160元（舱位/JGB160)和直加260元(舱位/JGB260）两个档位；经济舱（含公布运价舱和特价舱）直加三个档位，分别为直加50元（舱位/JGB50）、140元（舱位/JGB140）和直加200元（舱位/JGB206）的模式。
",2025.01.01(含)2025.12.31(含),,,,,,,,,,,,,,,,
ZH,ZH商务如意行（经济舱）,所有航线,B/M/M1/U,50,固定值,25,,,5,JGB50,BSP/GP,KMG319/KMG279/CTU152/SZX146,"
总部产品采取两舱直加160元（舱位/JGB160)和直加260元(舱位/JGB260）两个档位；经济舱（含公布运价舱和特价舱）直加三个档位，分别为直加50元（舱位/JGB50）、140元（舱位/JGB140）和直加200元（舱位/JGB207）的模式。
",2025.01.01(含)2025.12.31(含),,,,,,,,,,,,,,,,
ZH,ZH商务如意行（经济舱）,所有航线,H/H1/Q/QI/V/V1/W/S/S1,50,固定值,25,,,2,JGB50,BSP/GP,KMG319/KMG279/CTU152/SZX146,2025.01.01(含)2025.12.31(含),有效,,,,,,,,,,,,,,,,
ZH,ZH销售平台散客已上线商务如意行产品,全部航线（B2B）系统出票,适用舱位KLE舱,140,固定值,75,,,,JGB140,BSP/GP,KMG319/KMG279/CTU152/SZX146,"1.运价级别为JGB140
2.运价基础JGB160
",有效,,,,,,,,,,,,,,,,
