川航大客户,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,客户单位名称,实名制/非实,大客户号,运价指令,政策返点/直减,票证类型,授权OFFICE号,名单分配,战队,备注,政策有效期和截至日期,服务商,,,,,,,,,,,,,,
1,中国人民解放军联勤第二十二分部昆明大观干休所,无名单,GN0135KM,PAT A#CGN0135KM,\,BSP,KMG319,,\,4月14日通知：已暂停，销量不够,,云南同邦旅游发展有限公司,何媛媛,,,,,,,,,,,,,
2,中国人民解放军联勤第二十二分部昆明大观干休所,无名单,GNF0136KM,PAT A#CGNF0136KM,\,BSP,KMG319,,\,4月14日通知：已暂停，销量不够,,云南同邦旅游发展有限公司,何媛媛,,,,,,,,,,,,,
3,中国电信股份有限公司云南分公司,实名制,GY0119KM,PAT A#CGY0119KM,Y/B/T/H/G/L/E/R  8%,BSP,KMG319/KMG279,本单位L0006(客户名单给川航已上传）,营销一部,\,,昆明同邦星晟航空服务有限公司云南同邦旅游发展有限公司,成颖,,,,,,,,,,,,,
4,中国科学院昆明植物研究所,非实名制,GP1465KM,PAT A#CGP1465KM,\,GP,KMG319,本单位+营销一部,营销一部,\,,云南同邦旅游发展有限公司,何媛媛,,,,,,,,,,,,,
5,云南省体育工作大队,非实名制,GP0792KM,"出票前备注：EI*GP0792KM
取消EI  在从新输入EI",\,GP,KMG319/KMG279,本单位LA1005+医科大学,营销一部,\,,昆明同邦星晟航空服务有限公司云南同邦旅游发展有限公司,成颖,,,,,,,,,,,,,
6,昆明电缆集团股份有限公司,实名制,GY0057U4KM,PAT A#CGY0057U4KM,Y/B/T/H/G/L/E/R  8%,BSP,KMG279,本单位LB1007＋中国工商银行股份有限公司云南省分行L1301,营销一部,\,,昆明同邦星晟航空服务有限公司,成颖,,,,,,,,,,,,,
7,云南省呈贡体育训练基地,非实名制,GP0847KM,"出票前备注：EI*EI*GP0847KM
取消EI  在从新输入EI",\,GP,KMG319/KMG279,本单位+体育系+年龄低于24岁的全部打 （呈贡体育训练基地）,营销一部,\,,昆明同邦星晟航空服务有限公司云南同邦旅游发展有限公司,成颖,,,,,,,,,,,,,
8,云南友脉科技有限公司,实名制,GY0045U6KM,PAT A#CGY0045U6KM,\,BSP,KMG319/KMG279,"本单位Y0158+中铁四院集团西南勘察设计有限公司YA0056
2.云南粮食省粮食产业集团有限公司
3.云南中石油昆仑燃气有限公司Y0088
4.云南天江一方药业有限公司Y0169",营销二部,\,,昆明星晟航空机票销售代理有限公司云南同邦旅游发展有限公司,成颖,,,,,,,,,,,,,
9,西南林业大学办公室,非实名制,GP0989KM,PAT A#CGP0989KM,\,GP,KMG319,本单位+营销二部,营销二部,\,,云南同邦旅游发展有限公司,何媛媛,,,,,,,,,,,,,
10,新华通讯社云南分社,非实名制,GP1152KM,EI*GP1152KM取消EI  在从新输入EI,\,GP,KMG319/KMG279,本单位YA0001+,营销二部,\,,昆明同邦星晟航空服务有限公司云南同邦旅游发展有限公司,成颖,,,,,,,,,,,,,
11,云南玉昆足球俱乐部有限公司,实名制,GY0129KM,PAT A#CGY0129KM,\,BSP,KMG319,本单位+,营销三部,\,,云南同邦旅游发展有限公司,何媛媛,,,,,,,,,,,,,
12,大唐云南发电有限公司,实名制,GY0128KM,PAT A#CGY0128KM,Y/B/T/H/G/L/E/R  8%,BSP,KMG319/KMG279,本单位DB0002（客户给川航名单备案558人）,营销三部,\,,昆明同邦星晟航空服务有限公司云南同邦旅游发展有限公司,成颖,,,,,,,,,,,,,
13,山东高速云南发展有限公司办公室,实名制,GY0101KM,PAT A#CGY0101KM,Y/B/T/H/G/L/E/R  8%,BSP,KMG319/KMG279,本单位,营销三部,\,,昆明同邦旅游发展有限公司昆明同邦星晟航空服务有限公司,何媛媛,,,,,,,,,,,,,
14,GP云南同邦旅游发展有限公司SME,非实名制,GP1612ZXKM,出票前备注：EI*GP1612ZXKM 取消EI 再从新输入EI,\,GP,KMG319,联合分销,所有部门,11月27生效,,云南同邦旅游发展有限公司,成颖,,,,,,,,,,,,,
15,BSP云南同邦旅游发展有限公司SME,实名制打包,GY0192ZXKM,PAT A#CGY0192ZXKM,无运价待查,BSP,KMG319,,所有部门,11月27生效,,云南同邦旅游发展有限公司,成颖,,,,,,,,,,,,,
16,GP昆明同邦星晟航空服务有限公司SME,非实名制,GP1613ZXKM,"出票前备注：EI*GP1613ZXKM 
取消EI 在从新输入EI",\,GP,KMG279,\,所有部门,\,,昆明同邦星晟航空服务有限公司,成颖,,,,,,,,,,,,,
17,BSP昆明同邦星晟航空服务有限公司SME,实名制打包,GY0193ZXKM,PAT A#CGY0193ZXKM,\,BSP,KMG279,直销+电商+联合所有名单,所有部门,\,,昆明同邦星晟航空服务有限公司,成颖,,,,,,,,,,,,,
18,瑞丽市人力资源和社会保障局,非实名制,GP0894KM,"出票前备注：EI*GP0894KM
取消EI  在从新输入EI",\,GP,KMG319,本单位+德宏州所有分公司,联合,\,,云南同邦旅游发展有限公司,何媛媛,,,,,,,,,,,,,
19,云南省临沧市人民检察院,非实名制,GP0985KM,"出票前备注：EI*GP0985KM
取消EI  在从新输入EI",\,GP,KMG319,临沧分公司地区,联合,\,,云南同邦旅游发展有限公司,何媛媛,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
