产品名称,航线,订座舱位,上浮价格,政策返点,产品代码,出票OFFICE,备注,产品有限期
1、S舱高返产品,所有航线,S舱，YGF01/*,80,50,YGF01,KMG319/KMG279,航班起飞 48 小时《含) 前免变更手续费一次,有效
1、S舱高返产品,所有航线,S舱，CGF02/*,150,100,CGF02,KMG319/KMG279,航班起飞 24 小时(含) 前免变更手续费一次(30KG 行李额),有效
1、S舱高返产品,所有航线,S舱，CGF03/*,280,180,CGF03,KMG319/KMG279,航班起飞4 小时《含) 前免变更手续费一次 (30KG 行李额),有效
1、S舱高返产品,所有航线,S舱，CGF03/*,280,180,CGF03,KMG319/KMG279,航班起飞4 小时《含) 前免变更手续费一次 (30KG 行李额),有效
1、S舱高返产品,所有航线,S舱，CGF03/*,280,180,CGF03,KMG319/KMG279,航班起飞4 小时《含) 前免变更手续费一次 (30KG 行李额),有效
1、S舱高返产品,所有航线,S舱，CGF03/*,280,180,CGF03,KMG319/KMG279,航班起飞4 小时《含) 前免变更手续费一次 (30KG 行李额),有效
2、S舱高返产品,所有航线,S舱，CGF03/*,280,180,CGF03,KMG319/KMG279,航班起飞4 小时《含) 前免变更手续费一次 (30KG 行李额),有效
奥凯甄选,所有航线,不固定舱位，随外放开舱上浮,20,15,*/G1,,运价获取指令：PAT:A,长期有效
,,,80,50,*/G2,,,
,,,160,100,*/G3,,,
,,,260,180,*/G4,,,
,,,380,260,*/G5,,,长期有效
高端经济舱,所有航线,W 舱，运价获取指令：PAT:A,100,,CZ2/*,,800(含)公里以下,
,,,150,,CZ3/*,,801 公里至 1500 公里(含),
,,,200,,CZ4/*,,"1501 公里至 3000 公里
(含)",
,,,260,,CZ5/*,,3001 公里及以上,
行李无忧,所有航线,P 舱、基础舱位：B/K/M/L/N/Q/E,150,15,CX1/*,,免费行李额度30KG,长期有效
,,P 舱、基础舱位：U/T,180,18,CX2/*,,,
,,D/O/Z/J/X/H,150,15,YX1/*,,免费行李额度20KG,
,,,240,24,CX3/*,,免费行李额度30KG,
双程优享,所有航线,Y/B/K/M/L/N/Q,直减,20,*/SC1,,,适用航班日期：2026 年4 月29 日至2026 年12 月31日
双程优享,所有航线,E/U/T,直减,20,*/SC2,,,适用航班日期：2026 年4 月29 日至2026 年12 月31日
双程优享,所有航线,D/O/Z/J/H/X,直减,10,*/SC3,,,适用航班日期：2026 年4 月29 日至2026 年12 月31日
,,,,,,,,
