产品名称,航线,订座舱位,上浮价格/直减,政策返点,产品代码,出票OFFICE,备注,产品有限期,航司结算方式
1、增值经济舱Q舱,所有航线,Q舱  GQQ1,上浮16%-20%,60,GQQ1,KMG319/KMG279/CTU152/SZX146,"权益:
-前排座位:经济舱前三排座位;()餐食权益:免费机上餐点一份行李权益:免费托运行李额20KG及1件手提行李(7KG20*40*55cm)
(四) Q无代金券
(五)地面权益:为旅客提供登机口优先登机服务(可享受城市: 北京大兴、西安青岛、海口、丽江、杭州、石家庄出港航班，其他城市暂未开通)(六) 额外积分奖励如果乘客为金鹏会员(积分累积仅限金鹏会员旅客)，购票后除基础消费累积8积分110元以外，可额外累积3积分/10元，共11积分/10元: 定级航段为1。(七)自愿改期、退票手续费优惠:(八)免费提供行程单快递服务(仅限首航官网、首航APP、首航官方旗舰店、首航呼叫中心渠道)。",有效,
2、商旅优选Q舱,所有航线,Q PXQ1,上浮16%-20%,10/70,PXQ1,KMG319/KMG279/CTU152/SZX146,基于Q舱代理费上浮10元/段(70元/段）,有效,
3、超值经济舱W舱,所有航线,R-K 超值经济舱W(PCJ1),上浮YB24%-25%,80,PCJ1,KMG319/KMG279/CTU152/SZX146,"权益:
-前排座位:经济舱前三排座位(餐食权益:免费机上餐点一份:(三)行李权益:免费托运行李额20KG及1件手提行李(7KG,20*40*55cm)(四)50元国内机票代金券(仅限现官网、公众号、APP/H5等自有渠道购买旅客)(五)地面权益:旅客出行可享受专属值机柜台、优先登机、公务舱贵宾室及优先行李提取相关地面保障服务 (可享受城市: 北京大兴、西安、青岛、海口、丽江、杭州、石家庄出港航班，其他城市暂未开通)(六)额外积分奖励如果乘客为金鹏会员(积分累积仅限金鹏会员旅客)，购票后除基础消费累积8积分110元以外，可额外累积3积分/10元，共11积分/10元; 定级航段为1(七)自愿改期、退票手续费优惠(八)免费提供行程单快递服务 (仅限首航官网、首航APP、首航官方旗舰店、首航呼叫中心渠道)。",有效,
3、超值经济舱W舱,所有航线,商旅优选W舱  PXW1,上浮YB24%-25%,10,PXW1,KMG319/KMG279/CTU152/SZX146,经济舱外放溢价25折左右，提供前三排及餐食、行李及其他地面权益;代理费:80元/航段,有效,
3、超值经济舱W舱,所有航线,超订团队W舱  PCW1,上浮YB24%-25%,10,PCW1,KMG319/KMG279/CTU152/SZX146,基于W舱代理费上浮10元/段,有效,
4、“特惠行李”E,所有航线,E舱  PYE1（包含H/K/L/M/X//N/A/U/T/R 舱位。                                              航线：北京大兴进出港,上浮50元,10元,PYE1,KMG319/KMG279/CTU152/SZX146,"当外放最低散客舱位价格为 X 舱（不含）以下时，上浮XX 元,上浮后运价以使用 PAT：A 指令系统自动获取为准，详见下发的产品销售政策。
注：E 舱价格是以该航班经济舱外放最低散客基础舱位
价格上上浮，且 E 舱价格不得高于经济舱公布普通票价。（一）行李权益：旅客可享受 20KG 免费托运行李额及 1
件手提行李（规格为 7KG，20×30×40cm）。
（二）退改优惠权益：自愿改期、退票手续费优惠（详
见自愿改期、退票条款）。",有效,
5、特惠行李E舱,所有航线,运价代码：PYE1,上浮50元,10元/35元,PYE1,KMG319/KMG279/CTU152/SZX146,根据航段不同，溢价不同，提供20KG托运行李,有效,
6、商旅优选E舱,所有航线,运价标识：PXE1,上浮50元,10,PXE1,KMG319/KMG279/CTU152/SZX146,基于E舱代理费上浮10元/段,有效,
7、优享变更,所有航线,运价标识：PTGH1,150,40,PTGH1,KMG319/KMG279/CTU152/SZX146,外放溢价150元，提供免变更费服务权益,有效,航司结算方式
8、首悦经济舱 P 舱产品,所有航线,订P舱  PPC1/PPC3  （N-B）,下浮2%-4%,0,PPC1/PPC3,KMG319/KMG279/CTU152/SZX146,"免费托运行李额：参照下浮前原舱位规定（V\N 舱行李额为
0，其他舱位 10KG,如有运价调整，参见最新运价公布）；                                         4小时含以内100%，4小时-72小时85%，有单独文件客规，参照文件执行",有效,
9、超值公务舱,所有航线,订Z舱 （PYY1）,下浮2%-4%,20,PYY1,KMG319/KMG279/CTU152/SZX146,"1、经济舱联动上浮，适用舱位:Y/H/K/L/M/X/V/N/A/U/T;
2、服务同正价公务舱服务(地面、空中均适用);
3、代理费:20元/段;
4、行李:手提:2件、7KG/件:托运:30KG:
5、有消费积分。",有效,
